"id","analysis_id","stratum_1","stratum_2","stratum_3","stratum_4","stratum_5","stratum_6","count_value","min_value","max_value","avg_value","stdev_value","median_value","p10_value","p25_value","p75_value","p90_value"
1,1815,3000089,"bushel",8532,0,260,25,2,0,0,0,0,0,0,0,0,0
2,1815,3000194,"beta-2 GPI IgA Ab unit",8507,0,0,0,1,0,0,0,0,0,0,0,0,0
3,1814,3000194,"beta-2 GPI IgA Ab unit","",0,0,"",1,0,0,0,0,0,0,0,0,0
4,1815,3000194,"SAU",8507,0,0,0,2,0,0,0,0,0,0,0,0,0
5,1814,3000194,"SAU","",0,0,"",2,0,0,0,0,0,0,0,0,0
6,1815,3000905,"million per milliliter",8532,0,80,5,20,0,0,0,0,0,0,0,0,0
7,1815,3001199,"allergenic unit",8532,0,0,0,1,0,0,0,0,0,0,0,0,0
8,1814,3001199,"allergenic unit","",0,0,"",1,0,0,0,0,0,0,0,0,0
9,1815,3002751,"percent",8532,0,40,5,272,0,0,0,0,0,0,0,0,0
10,1815,3004009,"bushel",8532,0,70,5,2,0,0,0,0,0,0,0,0,0
11,1815,3004057,"bushel",8532,0,8,0.8,4,0,0,0,0,0,0,0,0,0
12,1815,3009288,"per microliter",8507,0,80,5,2,0,0,0,0,0,0,0,0,0
13,1815,3012920,"gram per deciliter",8507,0,0,0,4,0,0,0,0,0,0,0,0,0
14,1815,3012920,"percent",8532,0,0,0,2,0,0,0,0,0,0,0,0,0
15,1814,3012920,"gram per deciliter","",0,0,"",4,0,0,0,0,0,0,0,0,0
16,1815,3013429,"thousand",8532,0,0.1,0.01,1,0,0,0,0,0,0,0,0,0
17,1815,3013429,"thousand per milliliter",8507,0,0.1,0.01,1,0,0,0,0,0,0,0,0,0
18,1814,3017003,"unified atomic mass unit","",0,0,"",12,0,0,0,0,0,0,0,0,0
19,1815,3017003,"unified atomic mass unit",8507,0,0,0,4,0,0,0,0,0,0,0,0,0
20,1815,3017003,"unified atomic mass unit",8532,0,0,0,8,0,0,0,0,0,0,0,0,0
21,1814,3021952,"unit per liter","",0,0,"",276,0,0,0,0,0,0,0,0,0
22,1814,3021952,"gram per liter","",0,0,"",69,0,0,0,0,0,0,0,0,0
23,1815,3021952,"gram per liter",8507,0,0,0,35,0,0,0,0,0,0,0,0,0
24,1815,3021952,"unit per liter",8532,0,0,0,136,0,0,0,0,0,0,0,0,0
25,1815,3021952,"gram per liter",8532,0,0,0,34,0,0,0,0,0,0,0,0,0
26,1815,3021952,"unit per liter",8507,0,0,0,140,0,0,0,0,0,0,0,0,0
27,1815,3023936,"O.D. unit",8532,0,0,0,4,0,0,0,0,0,0,0,0,0
28,1815,3024478,"bushel",8507,0,0,0,2,0,0,0,0,0,0,0,0,0
29,1814,3024478,"bushel","",0,0,"",2,0,0,0,0,0,0,0,0,0
30,1814,3027227,"percent total","",0,0,"",29,0,0,0,0,0,0,0,0,0
31,1815,3027227,"percent total",8532,0,0,0,18,0,0,0,0,0,0,0,0,0
32,1815,3027227,"percent total",8507,0,0,0,11,0,0,0,0,0,0,0,0,0
33,1814,3027557,"microgram per 24 hours","",0,0,"",1,0,0,0,0,0,0,0,0,0
34,1815,3027557,"microgram per 24 hours",8507,0,0,0,1,0,0,0,0,0,0,0,0,0
35,1814,3027557,"mg/day","",0,0,"",1,0,0,0,0,0,0,0,0,0
36,1815,3027557,"mg/day",8507,0,0,0,1,0,0,0,0,0,0,0,0,0
37,1815,3030884,"per microliter",8507,0,3,0.3,14,0,0,0,0,0,0,0,0,0
38,1815,3030894,"per microliter",8532,0,0,0,6,0,0,0,0,0,0,0,0,0
39,1815,3030894,"per microliter",8507,0,0,0,2,0,0,0,0,0,0,0,0,0
40,1814,3030894,"per microliter","",0,0,"",8,0,0,0,0,0,0,0,0,0
41,1815,3043263,"per high power field",8532,0,0,0,5,0,0,0,0,0,0,0,0,0
42,1814,3043263,"per high power field","",0,0,"",5,0,0,0,0,0,0,0,0,0
43,1815,3050658,"per high power field",8507,0,0,0,5,0,0,0,0,0,0,0,0,0
44,1814,3050658,"per high power field","",0,0,"",5,0,0,0,0,0,0,0,0,0
45,1815,3051205,"per high power field",8532,0,0,0,5,0,0,0,0,0,0,0,0,0
46,1814,3051205,"per high power field","",0,0,"",5,0,0,0,0,0,0,0,0,0
47,1815,40762478,"unified atomic mass unit",8507,0,2,0.2,36,0,0,0,0,0,0,0,0,0
48,1814,8112611182,"liter","",0,0,"",1,0,0,0,0,0,0,0,0,0
49,1815,8112611182,"liter",8532,0,0,0,1,0,0,0,0,0,0,0,0,0
50,1815,8113111151,"percent",8532,0,3,0.3,2,0,0,0,0,0,0,0,0,0
51,1815,8114911180,"percent",8532,0,20,2,2,0,0,0,0,0,0,0,0,0
52,1814,8115311172,"per high power field","",0,0,"",5,0,0,0,0,0,0,0,0,0
53,1815,8115311172,"per high power field",8532,0,0,0,5,0,0,0,0,0,0,0,0,0
54,1815,8115311180,"percent",8532,0,0,0,24,0,0,0,0,0,0,0,0,0
55,1814,8115311180,"percent","",0,0,"",28,0,0,0,0,0,0,0,0,0
56,1815,8115311180,"percent",8507,0,0,0,4,0,0,0,0,0,0,0,0,0
57,1815,8116011160,"percent",8532,0,3,0.3,2,0,0,0,0,0,0,0,0,0
58,1814,8117211202,"Kelvin per cubic millimeter","",0,0,"",1,0,0,0,0,0,0,0,0,0
59,1815,8117211202,"Kelvin per cubic millimeter",8507,0,0,0,1,0,0,0,0,0,0,0,0,0
60,1815,8117311175,"gram per liter",8507,0,2,0.2,1,0,0,0,0,0,0,0,0,0
61,1815,8117311175,"unit per liter",8507,0,2,0.2,4,0,0,0,0,0,0,0,0,0
62,1814,8117711159,"percent","",0,0,"",4,0,0,0,0,0,0,0,0,0
63,1815,8117711159,"percent",8532,0,0,0,4,0,0,0,0,0,0,0,0,0
64,1815,8119111165,"microgram per liter",8532,0,5,0.5,24,0,0,0,0,0,0,0,0,0
65,1815,8119411170,"percent",8532,0,20,2,16,0,0,0,0,0,0,0,0,0
66,1815,8119411171,"percent",8532,0,50,5,16,0,0,0,0,0,0,0,0,0
67,1814,8120211176,"percent","",0,0,"",10,0,0,0,0,0,0,0,0,0
68,1815,8120211176,"percent",8532,0,0,0,2,0,0,0,0,0,0,0,0,0
69,1815,8120211176,"percent",8507,0,0,0,8,0,0,0,0,0,0,0,0,0
70,1814,8120211180,"percent","",0,0,"",2,0,0,0,0,0,0,0,0,0
71,1815,8120211180,"percent",8507,0,0,0,2,0,0,0,0,0,0,0,0,0
72,1815,8120211187,"percent",8532,0,20,2,16,0,0,0,0,0,0,0,0,0
73,1815,8120311168,"percent",8532,0,2,0.2,2,0,0,0,0,0,0,0,0,0
74,1815,8120411158,"bushel",8532,0,8,0.8,4,0,0,0,0,0,0,0,0,0
75,1815,8120411161,"microgram per liter",8532,0,1,0.1,4,0,0,0,0,0,0,0,0,0
76,1815,8120811186,"SGU",8507,0,0,0,2,0,0,0,0,0,0,0,0,0
77,1814,8120811186,"beta-2 GPI IgG Ab unit","",0,0,"",1,0,0,0,0,0,0,0,0,0
78,1814,8120811186,"SGU","",0,0,"",2,0,0,0,0,0,0,0,0,0
79,1815,8120811186,"beta-2 GPI IgG Ab unit",8507,0,0,0,1,0,0,0,0,0,0,0,0,0
80,1815,8122211143,"nanomole per liter",8507,0,0,0,5,0,0,0,0,0,0,0,0,0
81,1814,8122211143,"mole per liter","",0,0,"",1,0,0,0,0,0,0,0,0,0
82,1815,8122211143,"mole per liter",8507,0,0,0,1,0,0,0,0,0,0,0,0,0
83,1814,8122211143,"nanomole per liter","",0,0,"",5,0,0,0,0,0,0,0,0,0
84,1815,8122811154,"bushel",8532,0,260,25,2,0,0,0,0,0,0,0,0,0
85,1815,8123511165,"percent",8507,0,2,0.2,4,0,0,0,0,0,0,0,0,0
86,1815,8124511164,"unit per liter",8532,0,0,0,4,0,0,0,0,0,0,0,0,0
87,1814,8124511164,"gram per liter","",0,0,"",1,0,0,0,0,0,0,0,0,0
88,1815,8124511164,"gram per liter",8532,0,0,0,1,0,0,0,0,0,0,0,0,0
89,1814,8124511164,"unit per liter","",0,0,"",4,0,0,0,0,0,0,0,0,0
90,1815,8125311174,"thousand per microliter",8507,0,1,0.1,468,0,0,0,0,0,0,0,0,0
91,1814,8125311179,"percent","",0,0,"",4,0,0,0,0,0,0,0,0,0
92,1815,8125311179,"percent",8532,0,0,0,4,0,0,0,0,0,0,0,0,0
93,1814,8126111155,"IgM phospholipid unit","",0,0,"",1,0,0,0,0,0,0,0,0,0
94,1815,8126111155,"IgM phospholipid unit",8507,0,0,0,1,0,0,0,0,0,0,0,0,0
95,1815,8126711174,"mole per liter",8507,0,0,0,4,0,0,0,0,0,0,0,0,0
96,1815,8126711174,"nanomole per liter",8507,0,0,0,20,0,0,0,0,0,0,0,0,0
97,1815,8127511170,"percent",8507,0,0,0,2,0,0,0,0,0,0,0,0,0
98,1814,8127511170,"percent","",0,0,"",2,0,0,0,0,0,0,0,0,0
99,1814,8127711146,"percent","",0,0,"",10,0,0,0,0,0,0,0,0,0
100,1815,8127711146,"percent",8532,0,0,0,2,0,0,0,0,0,0,0,0,0
101,1815,8127711146,"percent",8507,0,0,0,8,0,0,0,0,0,0,0,0,0
102,1815,8127911159,"percent",8532,0,5,0.5,2,0,0,0,0,0,0,0,0,0
103,1815,8128911143,"percent",8507,0,90,10,20,0,0,0,0,0,0,0,0,0
104,1815,8129111138,"percent",8532,0,0,0,2,0,0,0,0,0,0,0,0,0
105,1814,8129111138,"percent","",0,0,"",10,0,0,0,0,0,0,0,0,0
106,1815,8129111138,"percent",8507,0,0,0,8,0,0,0,0,0,0,0,0,0
107,1815,8129211170,"nanomole per liter",8507,0,0,0,20,0,0,0,0,0,0,0,0,0
108,1815,8129211170,"mole per liter",8507,0,0,0,4,0,0,0,0,0,0,0,0,0
109,1815,8129811164,"percent",8507,0,0,0,2,0,0,0,0,0,0,0,0,0
110,1814,8129811164,"percent","",0,0,"",2,0,0,0,0,0,0,0,0,0
111,1814,8130811167,"thousand per microliter","",0,0,"",1,0,0,0,0,0,0,0,0,0
112,1815,8130811167,"thousand per microliter",8532,0,0,0,1,0,0,0,0,0,0,0,0,0
113,1815,8131611171,"O.D. unit",8532,0,0,0,4,0,0,0,0,0,0,0,0,0
114,1815,8133011139,"percent",8532,0,0,0,2,0,0,0,0,0,0,0,0,0
115,1815,8133011139,"percent",8507,0,0,0,8,0,0,0,0,0,0,0,0,0
116,1814,8133011139,"percent","",0,0,"",10,0,0,0,0,0,0,0,0,0
117,1815,8133111145,"microgram per deciliter",8532,0,4,0.4,1,0,0,0,0,0,0,0,0,0
118,1814,8133911166,"beta-2 GPI IgM Ab unit","",0,0,"",1,0,0,0,0,0,0,0,0,0
119,1814,8133911166,"SMU","",0,0,"",2,0,0,0,0,0,0,0,0,0
120,1815,8133911166,"SMU",8507,0,0,0,2,0,0,0,0,0,0,0,0,0
121,1815,8133911166,"beta-2 GPI IgM Ab unit",8507,0,0,0,1,0,0,0,0,0,0,0,0,0
122,1815,8134511154,"avidity index",8532,0,1,0.1,6,0,0,0,0,0,0,0,0,0
123,1815,8136311165,"percent",8507,0,100,10,20,0,0,0,0,0,0,0,0,0
124,1814,8136411161,"avidity index","",0,0,"",4,0,0,0,0,0,0,0,0,0
125,1815,8136411161,"avidity index",8532,0,0,0,4,0,0,0,0,0,0,0,0,0
126,1815,8136711148,"percent",8507,0,40,5,4,0,0,0,0,0,0,0,0,0
127,1814,8137311151,"percent","",0,0,"",10,0,0,0,0,0,0,0,0,0
128,1815,8137311151,"percent",8532,0,0,0,2,0,0,0,0,0,0,0,0,0
129,1815,8137311151,"percent",8507,0,0,0,8,0,0,0,0,0,0,0,0,0
130,1814,8138511170,"percent","",0,0,"",2,0,0,0,0,0,0,0,0,0
131,1815,8138511170,"percent",8532,0,0,0,2,0,0,0,0,0,0,0,0,0
132,1815,8139011166,"microgram per 24 hours",8507,0,0,0,1,0,0,0,0,0,0,0,0,0
133,1814,8139011166,"mg/day","",0,0,"",1,0,0,0,0,0,0,0,0,0
134,1814,8139011166,"microgram per 24 hours","",0,0,"",1,0,0,0,0,0,0,0,0,0
135,1815,8139011166,"mg/day",8507,0,0,0,1,0,0,0,0,0,0,0,0,0
136,1815,8139111151,"avidity index",8507,0,1,0.1,4,0,0,0,0,0,0,0,0,0
137,1814,8139911177,"beta-2 GPI IgA Ab unit","",0,0,"",1,0,0,0,0,0,0,0,0,0
138,1815,8139911177,"SAU",8507,0,0,0,2,0,0,0,0,0,0,0,0,0
139,1815,8139911177,"beta-2 GPI IgA Ab unit",8507,0,0,0,1,0,0,0,0,0,0,0,0,0
140,1814,8139911177,"SAU","",0,0,"",2,0,0,0,0,0,0,0,0,0
141,1815,8140111170,"percent",8507,0,30,3,8,0,0,0,0,0,0,0,0,0
142,1814,8141211170,"percent","",0,0,"",2,0,0,0,0,0,0,0,0,0
143,1815,8141211170,"percent",8507,0,0,0,2,0,0,0,0,0,0,0,0,0
144,1814,8141411190,"bushel","",0,0,"",2,0,0,0,0,0,0,0,0,0
145,1815,8141411190,"bushel",8532,0,0,0,2,0,0,0,0,0,0,0,0,0
146,1814,8141511156,"percent","",0,0,"",14,0,0,0,0,0,0,0,0,0
147,1815,8141511156,"percent",8532,0,0,0,6,0,0,0,0,0,0,0,0,0
148,1815,8141511156,"percent",8507,0,0,0,8,0,0,0,0,0,0,0,0,0
149,1815,8141811165,"per microliter",8507,0,3,0.3,14,0,0,0,0,0,0,0,0,0
150,1815,8142211163,"percent",8532,0,100,10,2,0,0,0,0,0,0,0,0,0
151,1815,8143711176,"thousand per microliter",8532,0,0,0,1,0,0,0,0,0,0,0,0,0
152,1814,8143711176,"thousand per microliter","",0,0,"",1,0,0,0,0,0,0,0,0,0
153,1815,8144111153,"allergenic unit",8532,0,0,0,1,0,0,0,0,0,0,0,0,0
154,1814,8144111153,"allergenic unit","",0,0,"",1,0,0,0,0,0,0,0,0,0
155,1815,8144211157,"percent",8532,0,20,2,2,0,0,0,0,0,0,0,0,0
156,1815,8144711164,"percent",8532,0,1,0.1,16,0,0,0,0,0,0,0,0,0
157,1815,8146511162,"million per milliliter",8532,0,80,5,20,0,0,0,0,0,0,0,0,0
158,1815,8146511163,"percent",8532,0,0,0,2,0,0,0,0,0,0,0,0,0
159,1814,8146511163,"percent","",0,0,"",2,0,0,0,0,0,0,0,0,0
160,1815,8147311171,"percent",8507,0,0.8,0.1,4,0,0,0,0,0,0,0,0,0
161,1814,8147411157,"bushel","",0,0,"",2,0,0,0,0,0,0,0,0,0
162,1815,8147411157,"bushel",8507,0,0,0,2,0,0,0,0,0,0,0,0,0
163,1815,8147711164,"percent",8507,0,30,3,6,0,0,0,0,0,0,0,0,0
164,1815,8147911161,"percent",8532,0,40,5,2,0,0,0,0,0,0,0,0,0
165,1814,8148111140,"percent","",0,0,"",10,0,0,0,0,0,0,0,0,0
166,1815,8148111140,"percent",8532,0,0,0,2,0,0,0,0,0,0,0,0,0
167,1815,8148111140,"percent",8507,0,0,0,8,0,0,0,0,0,0,0,0,0
168,1814,8149111166,"percent","",0,0,"",10,0,0,0,0,0,0,0,0,0
169,1815,8149111166,"percent",8507,0,0,0,8,0,0,0,0,0,0,0,0,0
170,1815,8149111166,"percent",8532,0,0,0,2,0,0,0,0,0,0,0,0,0
171,1814,8149211158,"percent","",0,0,"",2,0,0,0,0,0,0,0,0,0
172,1815,8149211158,"percent",8532,0,0,0,2,0,0,0,0,0,0,0,0,0
173,1814,8149611162,"per high power field","",0,0,"",5,0,0,0,0,0,0,0,0,0
174,1815,8149611162,"per high power field",8507,0,0,0,5,0,0,0,0,0,0,0,0,0
175,1815,8149711159,"percent",8532,0,0,0,2,0,0,0,0,0,0,0,0,0
176,1815,8149711159,"percent",8507,0,0,0,4,0,0,0,0,0,0,0,0,0
177,1814,8149711159,"percent","",0,0,"",6,0,0,0,0,0,0,0,0,0
178,1814,8149911174,"percent","",0,0,"",6,0,0,0,0,0,0,0,0,0
179,1815,8149911174,"percent",8532,0,0,0,6,0,0,0,0,0,0,0,0,0
180,1814,8150611182,"percent","",0,0,"",2,0,0,0,0,0,0,0,0,0
181,1815,8150611182,"percent",8532,0,0,0,2,0,0,0,0,0,0,0,0,0
182,1815,8150811184,"percent",8507,0,20,2,6,0,0,0,0,0,0,0,0,0
183,1814,8150911147,"index value","",0,0,"",1,0,0,0,0,0,0,0,0,0
184,1815,8150911147,"index value",8507,0,0,0,1,0,0,0,0,0,0,0,0,0
185,1815,8151511152,"per high power field",8532,0,0,0,5,0,0,0,0,0,0,0,0,0
186,1814,8151511152,"per high power field","",0,0,"",5,0,0,0,0,0,0,0,0,0
187,1815,8152111175,"GPL unit",8507,0,0,0,1,0,0,0,0,0,0,0,0,0
188,1814,8152111175,"GPL unit","",0,0,"",1,0,0,0,0,0,0,0,0,0
189,1815,8152111175,"IgG phospholipid unit",8507,0,0,0,1,0,0,0,0,0,0,0,0,0
190,1814,8152111175,"IgG phospholipid unit","",0,0,"",1,0,0,0,0,0,0,0,0,0
191,1815,8152311187,"percent",8532,0,0,0,4,0,0,0,0,0,0,0,0,0
192,1814,8152311187,"percent","",0,0,"",4,0,0,0,0,0,0,0,0,0
193,1815,8152411154,"unified atomic mass unit",8507,0,1,0.1,40,0,0,0,0,0,0,0,0,0
194,1815,8152511154,"per microliter",8507,0,80,5,2,0,0,0,0,0,0,0,0,0
195,1814,8153311163,"percent","",0,0,"",2,0,0,0,0,0,0,0,0,0
196,1815,8153311163,"percent",8507,0,0,0,2,0,0,0,0,0,0,0,0,0
197,1814,8153511157,"percent","",0,0,"",10,0,0,0,0,0,0,0,0,0
198,1815,8153511157,"percent",8532,0,0,0,2,0,0,0,0,0,0,0,0,0
199,1815,8153511157,"percent",8507,0,0,0,8,0,0,0,0,0,0,0,0,0
200,1814,8153611186,"thousand per microliter","",0,0,"",1,0,0,0,0,0,0,0,0,0
201,1815,8153611186,"thousand per microliter",8532,0,0,0,1,0,0,0,0,0,0,0,0,0
202,1815,8154311171,"nanomole per liter",8507,0,0,0,20,0,0,0,0,0,0,0,0,0
203,1815,8154311171,"mole per liter",8507,0,0,0,4,0,0,0,0,0,0,0,0,0
204,1815,8154711193,"percent",8532,0,5,0.5,6,0,0,0,0,0,0,0,0,0
