"id","concept_id","value_as_concept_id","concept_name","type","est_count"
2,434258,0,"MIN","NUM",-10.3
3,434258,0,"MAX","NUM",140
4,443532,0,"MIN","NUM",-21.1
5,443532,0,"MAX","NUM",456
6,709959,0,"MIN","NUM",1
7,709959,0,"MAX","NUM",1
8,709960,0,"MAX","NUM",1
9,709960,0,"MIN","NUM",1
10,761113,0,"MAX","NUM",5
11,761113,0,"MIN","NUM",1
12,764390,0,"MAX","NUM",6.2
13,764390,0,"MIN","NUM",1.4
14,2101847,0,"MAX","NUM",1
15,2101847,0,"MIN","NUM",1
16,2101897,0,"MAX","NUM",1
17,2101897,0,"MIN","NUM",1
18,2101910,0,"MAX","NUM",1
19,2101910,0,"MIN","NUM",1
20,2101918,0,"MIN","NUM",1
21,2101918,0,"MAX","NUM",1
22,2101922,0,"MIN","NUM",1
23,2101922,0,"MAX","NUM",1
24,2101934,0,"MIN","NUM",1
25,2101934,0,"MAX","NUM",1
26,2101943,0,"MAX","NUM",1
27,2101943,0,"MIN","NUM",1
28,2101944,0,"MAX","NUM",1
29,2101944,0,"MIN","NUM",1
30,2102032,0,"MAX","NUM",1
31,2102032,0,"MIN","NUM",1
32,2102033,0,"MAX","NUM",1
33,2102033,0,"MIN","NUM",1
34,2102034,0,"MAX","NUM",1
35,2102034,0,"MIN","NUM",1
36,2102041,0,"MAX","NUM",1
37,2102041,0,"MIN","NUM",1
38,2102074,0,"MIN","NUM",1
39,2102074,0,"MAX","NUM",1
40,2102832,0,"MAX","NUM",1
41,2102832,0,"MIN","NUM",1
42,2102833,0,"MAX","NUM",1
43,2102833,0,"MIN","NUM",1
44,2102841,0,"MAX","NUM",1
45,2102841,0,"MIN","NUM",1
46,2102861,0,"MAX","NUM",1
47,2102861,0,"MIN","NUM",1
48,2106190,0,"MAX","NUM",1
49,2106190,0,"MIN","NUM",1
50,2106191,0,"MIN","NUM",1
51,2106191,0,"MAX","NUM",1
52,2106213,0,"MAX","NUM",1
53,2106213,0,"MIN","NUM",1
54,2106236,0,"MAX","NUM",1
55,2106236,0,"MIN","NUM",1
56,2106238,0,"MAX","NUM",1
57,2106238,0,"MIN","NUM",1
58,2106252,0,"MAX","NUM",1
59,2106252,0,"MIN","NUM",1
60,2106254,0,"MIN","NUM",1
61,2106254,0,"MAX","NUM",1
62,2106255,0,"MIN","NUM",1
63,2106255,0,"MAX","NUM",1
64,2106256,0,"MAX","NUM",1
65,2106256,0,"MIN","NUM",1
66,2106273,0,"MIN","NUM",1
67,2106273,0,"MAX","NUM",1
68,2106274,0,"MAX","NUM",1
69,2106274,0,"MIN","NUM",1
70,2106281,0,"MIN","NUM",1
71,2106281,0,"MAX","NUM",1
72,2106282,0,"MAX","NUM",1
73,2106282,0,"MIN","NUM",1
74,2106284,0,"MIN","NUM",1
75,2106284,0,"MAX","NUM",1
76,2106285,0,"MAX","NUM",1
77,2106285,0,"MIN","NUM",1
78,2106286,0,"MAX","NUM",1
79,2106286,0,"MIN","NUM",1
80,2106289,0,"MIN","NUM",1
81,2106289,0,"MAX","NUM",1
82,2106805,0,"MAX","NUM",1
83,2106805,0,"MIN","NUM",1
84,2106843,0,"MAX","NUM",1
85,2106843,0,"MIN","NUM",1
86,2106851,0,"MAX","NUM",1
87,2106851,0,"MIN","NUM",1
88,2106888,0,"MIN","NUM",1
89,2106888,0,"MAX","NUM",1
90,2106910,0,"MIN","NUM",1
91,2106910,0,"MAX","NUM",1
92,2107133,0,"MAX","NUM",1
93,2107133,0,"MIN","NUM",1
94,2107152,0,"MAX","NUM",1
95,2107152,0,"MIN","NUM",1
96,2107158,0,"MIN","NUM",1
97,2107158,0,"MAX","NUM",1
98,2107160,0,"MAX","NUM",1
99,2107160,0,"MIN","NUM",1
100,2107161,0,"MAX","NUM",1
101,2107161,0,"MIN","NUM",1
102,2107172,0,"MAX","NUM",1
103,2107172,0,"MIN","NUM",1
104,2108013,0,"MAX","NUM",1
105,2108013,0,"MIN","NUM",1
106,2108541,0,"MAX","NUM",1
107,2108541,0,"MIN","NUM",1
108,2108547,0,"MIN","NUM",1
109,2108547,0,"MAX","NUM",1
110,2108548,0,"MIN","NUM",1
111,2108548,0,"MAX","NUM",1
112,2108550,0,"MIN","NUM",1
113,2108550,0,"MAX","NUM",1
114,2108551,0,"MIN","NUM",1
115,2108551,0,"MAX","NUM",1
