id,concept_id,value_as_concept_id,concept_name,type,est_count
8861,3002529,45878589,A,CAT,1
12211,3034949,45878548,1+,CAT,1
11428,3024629,45878548,1+,CAT,1
11645,3026904,45878548,1+,CAT,1
11940,3029396,45878548,1+,CAT,1
9270,3005897,45878548,1+,CAT,2
11640,3026805,45878548,1+,CAT,2
13072,40758585,45878548,1+,CAT,3
12584,3039359,45878548,1+,CAT,4
9414,3007070,45878548,1+,CAT,7
9023,3004381,45878548,1+,CAT,12
10919,3020297,45878548,1+,CAT,13
11444,3024783,45878548,1+,CAT,19
10810,3019416,45878548,1+,CAT,24
12422,3037121,45878548,1+,CAT,32
9253,3005854,45878548,1+,CAT,34
12679,3041957,45878548,1+,CAT,40
9017,3004372,45878548,1+,CAT,42
9195,3005481,45878548,1+,CAT,56
9059,3004562,45878548,1+,CAT,68
10726,3018834,45878548,1+,CAT,73
8588,3000493,45878548,1+,CAT,74
11533,3025616,45878548,1+,CAT,100
8577,3000456,45878548,1+,CAT,111
9338,3006490,45878548,1+,CAT,155
10863,3019880,45878548,1+,CAT,169
9655,3009261,45878548,1+,CAT,232
11049,3021303,45878548,1+,CAT,282
12518,3037885,45878548,1+,CAT,290
9867,3011368,45878548,1+,CAT,322
11783,3027920,45878548,1+,CAT,343
11087,3021502,45878548,1+,CAT,348
9964,3011987,45878548,1+,CAT,374
12239,3035350,45878548,1+,CAT,466
9297,3006175,45878548,1+,CAT,560
8562,3000348,45878548,1+,CAT,562
8662,3001008,45878548,1+,CAT,611
11587,3026314,45878548,1+,CAT,617
9883,3011397,45878548,1+,CAT,840
10198,3014051,45878548,1+,CAT,856
8878,3002653,42530790,1A,CAT,1
10921,3020297,45881916,2+,CAT,1
9196,3005481,45881916,2+,CAT,1
12364,3036581,45881916,2+,CAT,1
13071,40758585,45881916,2+,CAT,2
11443,3024783,45881916,2+,CAT,2
9419,3007070,45881916,2+,CAT,3
12586,3039359,45881916,2+,CAT,3
8578,3000456,45881916,2+,CAT,4
9252,3005854,45881916,2+,CAT,5
12420,3037121,45881916,2+,CAT,6
10809,3019416,45881916,2+,CAT,6
8587,3000493,45881916,2+,CAT,7
11532,3025616,45881916,2+,CAT,11
12677,3041957,45881916,2+,CAT,13
10862,3019880,45881916,2+,CAT,15
10724,3018834,45881916,2+,CAT,19
9057,3004562,45881916,2+,CAT,33
9963,3011987,45881916,2+,CAT,35
9015,3004372,45881916,2+,CAT,40
11782,3027920,45881916,2+,CAT,44
11086,3021502,45881916,2+,CAT,58
9866,3011368,45881916,2+,CAT,64
11048,3021303,45881916,2+,CAT,78
