concept_id,has_values,"measurement_type"
2,1,"TEST"
3,1,"TEST"
5,1,"TEST"
7,1,"TEST"
8,1,"TEST"
9,1,"TEST"
11,1,"TEST"
12,1,"TEST"
13,1,"TEST"
14,1,"TEST"
15,1,"TEST"
17,1,"TEST"
18,1,"TEST"
19,1,"TEST"
20,1,"TEST"
21,1,"TEST"
23,1,"TEST"
24,1,"TEST"
26,1,"TEST"
28,1,"TEST"
31,1,"TEST"
33,1,"TEST"
34,1,"TEST"
38,1,"TEST"
39,1,"TEST"
41,1,"TEST"
42,1,"TEST"
43,1,"TEST"
47,1,"TEST"
48,1,"TEST"
49,1,"TEST"
50,1,"TEST"
51,1,"TEST"
55,1,"TEST"
57,1,"TEST"
202,1,"TEST"
203,1,"TEST"
221,1,"TEST"
225,1,"TEST"
226,1,"TEST"
229,1,"TEST"
230,1,"TEST"
233,1,"TEST"
234,1,"TEST"
235,1,"TEST"
239,1,"TEST"
242,1,"TEST"
243,1,"TEST"
244,1,"TEST"
246,1,"TEST"
248,1,"TEST"
250,1,"TEST"
253,1,"TEST"
254,1,"TEST"
255,1,"TEST"
256,1,"TEST"
259,1,"TEST"
260,1,"TEST"
265,1,"TEST"
266,1,"TEST"
267,1,"TEST"
269,1,"TEST"
271,1,"TEST"
273,1,"TEST"
274,1,"TEST"
276,1,"TEST"
292,1,"TEST"
295,1,"TEST"
296,1,"TEST"
297,1,"TEST"
299,1,"TEST"
300,1,"TEST"
301,1,"TEST"
302,1,"TEST"
304,1,"TEST"
308,1,"TEST"
309,1,"TEST"
310,1,"TEST"
311,1,"TEST"
314,1,"TEST"
315,1,"TEST"
316,1,"TEST"
318,1,"TEST"
319,1,"TEST"
321,1,"TEST"
322,1,"TEST"
323,1,"TEST"
324,1,"TEST"
327,1,"TEST"
331,1,"TEST"
341,1,"TEST"
342,1,"TEST"
344,1,"TEST"
346,1,"TEST"
351,1,"TEST"
356,1,"TEST"
358,1,"TEST"
359,1,"TEST"
360,1,"TEST"
362,1,"TEST"
363,1,"TEST"
365,1,"TEST"
366,1,"TEST"
367,1,"TEST"
371,1,"TEST"
373,1,"TEST"
374,1,"TEST"
375,1,"TEST"
376,1,"TEST"
377,1,"TEST"
379,1,"TEST"
380,1,"TEST"
381,1,"TEST"
382,1,"TEST"
384,1,"TEST"
385,1,"TEST"
386,1,"TEST"
387,1,"TEST"
390,1,"TEST"
395,1,"TEST"
396,1,"TEST"
398,1,"TEST"
399,1,"TEST"
400,1,"TEST"
403,1,"TEST"
404,1,"TEST"
406,1,"TEST"
408,1,"TEST"
410,1,"TEST"
412,1,"TEST"
413,1,"TEST"
414,1,"TEST"
415,1,"TEST"
416,1,"TEST"
419,1,"TEST"
420,1,"TEST"
421,1,"TEST"
422,1,"TEST"
423,1,"TEST"
429,1,"TEST"
436,1,"TEST"
437,1,"TEST"
441,1,"TEST"
443,1,"TEST"
450,1,"TEST"
453,1,"TEST"
454,1,"TEST"
11651,1,"TEST"
21254,1,"TEST"
21255,1,"TEST"
24966,1,"TEST"
32518,1,"TEST"
141831,1,"TEST"
316524,1,"TEST"
316536,1,"TEST"
317002,1,"TEST"
317100,1,"TEST"
317248,1,"TEST"
376382,1,"TEST"
376395,1,"TEST"
376657,1,"TEST"
376694,1,"TEST"
376946,1,"TEST"
376974,1,"TEST"
377091,1,"TEST"
377114,1,"TEST"
586515,1,"TEST"
586522,1,"TEST"
700360,1,"TEST"
706158,1,"TEST"
706160,1,"TEST"
706161,1,"TEST"
706163,1,"TEST"
706165,1,"TEST"
706169,1,"TEST"
706170,1,"TEST"
706171,1,"TEST"
706177,1,"TEST"
706178,1,"TEST"
706180,1,"TEST"
706181,1,"TEST"
709996,0,"ORDER"
709997,1,"TEST"
715814,1,"TEST"
715816,1,"TEST"
715839,1,"TEST"
715847,1,"TEST"
715851,1,"TEST"
715856,1,"TEST"
715860,1,"TEST"
715862,1,"TEST"
715865,1,"TEST"
715870,1,"TEST"
715879,1,"TEST"
715891,1,"TEST"
715900,1,"TEST"
715904,1,"TEST"
723473,1,"TEST"
723474,1,"TEST"
723475,1,"TEST"
723476,1,"TEST"
723478,1,"TEST"
723479,1,"TEST"
723480,0,"ORDER"
725097,0,"ORDER"
725106,0,"ORDER"
725107,0,"ORDER"
725109,0,"ORDER"
733325,1,"TEST"
733327,1,"TEST"
756055,1,"TEST"
757983,1,"TEST"
758039,1,"TEST"
758377,1,"TEST"
758400,1,"TEST"
