concept_id,"concept_name","concept_code","survey_name",survey_concept_id,count_value,sub,"path",is_parent_question,generate_counts,question_order_number,"question_string",section_num
702783,"Please indicate if your brothers and/or sisters [people with the same mother and/or father as you] have ever been diagnosed with any of these hormone/endocrine conditions. Think only of the person you are related to by blood. (select all that apply)","DiagnosedHealthCondition_SiblingEndocrineCondition","Family Health History",43528698,40740,1,"43528649.702783.702783",1,0,0,"Sibling Endocrine Condition: Type 1 Diabetes|Sibling Endocrine Condition: Type 2 Diabetes| Skip|Sibling Endocrine Condition: Other Diabetes|Sibling Endocrine Condition: Hyperthyroidism|Sibling Endocrine Condition: Hypothyroidism",0
702786,"Diagnosed Health Condition: Skeletal Muscular Condition","DiagnosedHealthCondition_SkeletalMuscularCondition","Family Health History",43528698,20,0,"702786",0,0,10,"Skeletal Muscular Condition: Osteoporosis|Skeletal Muscular Condition: Systemic Lupus|Skeletal Muscular Condition: Spine Muscle Bone|Skeletal Muscular Conditions: Pseudogout|Skeletal Muscular Condition: Fibromyalgia|Skeletal Muscular Condition: Rheumatoid Arthritis|Skeletal Muscular Condition: Osteoarthritis|Skip|Skeletal Muscular Condition: Gout",0
702788,"Please indicate if your brothers and/or sisters [people with the same mother and/or father as you] have ever been diagnosed with any of these digestive conditions. Think only of the person you are related to by blood. (select all that apply)","DiagnosedHealthCondition_SiblingDigestiveCondition","Family Health History",43528698,40740,1,"43528649.702788.702788",1,0,0,"Sibling Digestive Condition: Acid Reflux|Sibling Digestive Condition: Liver Condition|Sibling Digestive Condition: Celiac Disease|Sibling Digestive Condition: Irritable Bowel Syndrome|Sibling Digestive Condition: Peptic Ulcers|Sibling Digestive Condition: Crohn's Disease|Sibling Digestive Condition: Colon Polyps|Sibling Digestive Condition: Gall Stones| Skip|Sibling Digestive Condition: Diverticulitis|Sibling Digestive Condition: Ulcerative Colitis",0
903058,"In the PAST THREE MONTHS, how often have you used prescription stimulants for non-medical reasons (Vyvanse, Ritalin, Concerta, Dexedrine, Adderall, diet pills, etc.)","Past3MonthUseFrequency_PrescriptionStimulant3Month","Lifestyle",1585855,0,1,"1585636.1585639.903058",1,1,7,"Prescription Stimulant 3 Month Use: Weekly| Prefer Not To Answer|Prescription Stimulant 3 Month Use: Daily| Skip|Prescription Stimulant 3 Month Use: Monthly|Prescription Stimulant 3 Month Use: Never|Prescription Stimulant 3 Month Use: Once Or Twice",0
903096," Skip","PMI_Skip","Family Health History",43528698,20,1,"1384639.903096.903096",0,0,0,NULL,0
903096," Skip","PMI_Skip","Family Health History",43528698,20,1,"43528515.903096.903096",0,0,0,NULL,0
903096," Skip","PMI_Skip","Family Health History",43528698,20,1,"43528634.903096.903096",0,0,0,NULL,0
903096," Skip","PMI_Skip","Family Health History",43528698,20,1,"43528649.903096.903096",0,0,0,NULL,0
903096," Skip","PMI_Skip","Family Health History",43528698,20,1,"43528650.903096.903096",0,0,0,NULL,0
903096," Skip","PMI_Skip","Family Health History",43528698,20,1,"43528651.903096.903096",0,0,0,NULL,0
903096," Skip","PMI_Skip","Family Health History",43528698,20,1,"43528652.903096.903096",0,0,0,NULL,0
903096," Skip","PMI_Skip","Family Health History",43528698,20,1,"43528761.903096.903096",0,0,0,NULL,0
903096," Skip","PMI_Skip","Family Health History",43528698,20,1,"43528763.903096.903096",0,0,0,NULL,0
903096," Skip","PMI_Skip","Family Health History",43528698,20,1,"43528764.903096.903096",0,0,0,NULL,0
