"id","concept_id","concept_name","concept_code","survey_name","survey_concept_id","count_value","sub","path","is_parent_question","generate_counts","order_number","question_string","type","showup_date","parent_question_concept_id","parent_answer_concept_id"
4000,1703874,"During the past 6 months How often do you have trouble wrapping up the final details of a project, once the challenging parts have been done?","asrs_1","Behavioral Health and Personality",1703870,0,0,1703874,1,1,1,"","QUESTION","2024-02-21",1703874,1703874
4001,1703914,"During the past 6 months How often do you have difficulty getting things in order when you have to do a task that requires organization?","asrs_2","Behavioral Health and Personality",1703870,0,0,1703914,1,1,2,"","QUESTION","2024-02-21",1703914,1703914
4002,1703878,"During the past 6 months How often do you have problems remembering appointments or obligations?","asrs_3","Behavioral Health and Personality",1703870,0,0,1703878,1,1,3,"","QUESTION","2024-02-21",1703878,1703878
4003,1703916,"During the past 6 months When you have a task that requires a lot of thought, how often do you avoid or delay getting started?","asrs_4","Behavioral Health and Personality",1703870,0,0,1703916,1,1,4,"","QUESTION","2024-02-21",1703916,1703916
4004,1703913,"During the past 6 months How often do you fidget or squirm with your hands or feet when you have to sit down for a long time?","asrs_5","Behavioral Health and Personality",1703870,0,0,1703913,1,1,5,"","QUESTION","2024-02-21",1703913,1703913
4005,1703925,"During the past 6 months How often do you feel overly active and compelled to do things, like you were driven by a motor?","asrs_6","Behavioral Health and Personality",1703870,0,0,1703925,1,1,6,"","QUESTION","2024-02-21",1703925,1703925
4006,1703923,"Have you ever had a period of time when you were feeling so good, high, excited, or hyper that other people thought you were not your normal self or you were so hyper that you got into trouble?","mhqukb_43","Behavioral Health and Personality",1703870,0,0,1703923,1,1,7,"","QUESTION","2024-02-21",1703923,1703923
4007,1703906,"Please try to remember a period when you were in a high or irritable state and select all of the following that apply:","mhqukb_45","Behavioral Health and Personality",1703870,0,1,"1703923.1703969.1703906",0,1,7,"","QUESTION","2024-02-21",1703923,1703969
4008,1703879,"What is the longest time that these high or irritable periods have lasted?","mhqukb_46","Behavioral Health and Personality",1703870,0,1,"1703923.1703969.1703879",0,1,7,"","QUESTION","2024-02-21",1703923,1703969
4009,1703894,"How much of a problem have these high or irritable periods caused you?","mhqukb_47","Behavioral Health and Personality",1703870,0,1,"1703923.1703969.1703894",0,1,7,"","QUESTION","2024-02-21",1703923,1703969
4010,1703928,"Have you ever had a period of time when you were so irritable that you found yourself shouting at people or starting fights or arguments?","mhqukb_44","Behavioral Health and Personality",1703870,0,0,1703928,1,1,8,"","QUESTION","2024-02-21",1703928,1703928
4011,1703906,"Please try to remember a period when you were in a high or irritable state and select all of the following that apply:","mhqukb_45","Behavioral Health and Personality",1703870,0,1,"1703928.1703969.1703906",0,1,8,"","QUESTION","2024-02-21",1703928,1703969
4012,1703879,"What is the longest time that these high or irritable periods have lasted?","mhqukb_46","Behavioral Health and Personality",1703870,0,1,"1703928.1703969.1703879",0,1,8,"","QUESTION","2024-02-21",1703928,1703969
4013,1703894,"How much of a problem have these high or irritable periods caused you?","mhqukb_47","Behavioral Health and Personality",1703870,0,1,"1703928.1703969.1703894",0,1,8,"","QUESTION","2024-02-21",1703928,1703969
4014,1703885,"Did you ever see something that wasn't really there that other people could not see? Please do not include any times when you were dreaming or half-asleep or under the influence of alcohol or drugs.","mhqukb_49","Behavioral Health and Personality",1703870,0,0,1703885,1,1,9,"","QUESTION","2024-02-21",1703885,1703885
4015,1703890,"How distressing did you find having any of these experiences (such as seeing a vision, hearing a voice, believing that something strange was trying to communicate with you, or there was a plot against you)?","mhqukb_54","Behavioral Health and Personality",1703870,0,1,"1703885.1703969.1703890",0,1,9,"","QUESTION","2024-02-21",1703885,1703969
4016,1703882,"Did you ever talk to a doctor, counselor, psychiatrist or other health professional about any of these experiences (such as seeing a vision, hearing a voice, believing that something strange was trying to communicate with you, or there was a plot against you)?","mhqukb_55","Behavioral Health and Personality",1703870,0,1,"1703885.1703969.1703882",0,1,9,"","QUESTION","2024-02-21",1703885,1703969
4017,1703921,"Were you ever prescribed a medication by a health professional for any of these experiences (such as seeing a vision, hearing a voice, or believing that something strange was trying to communicate with you, or there was a plot against you)?","mhqukb_56","Behavioral Health and Personality",1703870,0,1,"1703885.1703969.1703921",0,1,9,"","QUESTION","2024-02-21",1703885,1703969
4018,1703901,"Did you ever hear voices that other people did not hear like voices coming from inside your head talking to you or about you, or voices coming out of the air when there was no one around?","cidi5_21","Behavioral Health and Personality",1703870,0,0,1703901,1,1,10,"","QUESTION","2024-02-21",1703901,1703901
4019,1703890,"How distressing did you find having any of these experiences (such as seeing a vision, hearing a voice, believing that something strange was trying to communicate with you, or there was a plot against you)?","mhqukb_54","Behavioral Health and Personality",1703870,0,1,"1703901.1703969.1703890",0,1,10,"","QUESTION","2024-02-21",1703901,1703969
4020,1703882,"Did you ever talk to a doctor, counselor, psychiatrist or other health professional about any of these experiences (such as seeing a vision, hearing a voice, believing that something strange was trying to communicate with you, or there was a plot against you)?","mhqukb_55","Behavioral Health and Personality",1703870,0,1,"1703901.1703969.1703882",0,1,10,"","QUESTION","2024-02-21",1703901,1703969
4021,1703921,"Were you ever prescribed a medication by a health professional for any of these experiences (such as seeing a vision, hearing a voice, or believing that something strange was trying to communicate with you, or there was a plot against you)?","mhqukb_56","Behavioral Health and Personality",1703870,0,1,"1703901.1703969.1703921",0,1,10,"","QUESTION","2024-02-21",1703901,1703969
