metric_key,h3_id,metric_value
2022_EP_BPHIGH,8312c9fffffffff,31.8
2022_EP_BPHIGH,8312cafffffffff,33.3
2022_EP_BPHIGH,8312cbfffffffff,28.4
2022_EP_BPHIGH,8312d8fffffffff,36.6
2022_EP_BPHIGH,8312d9fffffffff,34.7
2022_EP_BPHIGH,8312dafffffffff,37.2
2022_EP_BPHIGH,8312dbfffffffff,33.1
2022_EP_BPHIGH,8312ddfffffffff,35.4
2022_EP_BPHIGH,8312defffffffff,37.7
2022_EP_BPHIGH,832600fffffffff,32.3
2022_EP_BPHIGH,832601fffffffff,32.8
2022_EP_BPHIGH,832602fffffffff,36.3
2022_EP_BPHIGH,832603fffffffff,35.0
2022_EP_BPHIGH,832604fffffffff,32.3
2022_EP_BPHIGH,832605fffffffff,31.5
2022_EP_BPHIGH,832606fffffffff,33.6
2022_EP_BPHIGH,832608fffffffff,34.8
2022_EP_BPHIGH,832609fffffffff,36.2
2022_EP_BPHIGH,83260afffffffff,32.4
2022_EP_BPHIGH,83260bfffffffff,36.1
2022_EP_BPHIGH,83260cfffffffff,35.7
2022_EP_BPHIGH,83260dfffffffff,33.1
2022_EP_BPHIGH,83260efffffffff,34.0
2022_EP_BPHIGH,832610fffffffff,36.1
2022_EP_BPHIGH,832611fffffffff,36.3
2022_EP_BPHIGH,832612fffffffff,35.3
2022_EP_BPHIGH,832613fffffffff,35.0
2022_EP_BPHIGH,832614fffffffff,33.8
2022_EP_BPHIGH,832615fffffffff,35.0
2022_EP_BPHIGH,832616fffffffff,30.8
2022_EP_BPHIGH,832618fffffffff,33.5
2022_EP_BPHIGH,832619fffffffff,37.7
2022_EP_BPHIGH,83261afffffffff,34.4
2022_EP_BPHIGH,83261bfffffffff,38.1
2022_EP_BPHIGH,83261cfffffffff,36.1
2022_EP_BPHIGH,83261dfffffffff,34.1
2022_EP_BPHIGH,83261efffffffff,34.9
2022_EP_BPHIGH,832620fffffffff,31.6
2022_EP_BPHIGH,832621fffffffff,27.7
2022_EP_BPHIGH,832622fffffffff,34.4
2022_EP_BPHIGH,832623fffffffff,31.7
2022_EP_BPHIGH,832624fffffffff,32.7
2022_EP_BPHIGH,832625fffffffff,31.9
2022_EP_BPHIGH,832626fffffffff,30.2
2022_EP_BPHIGH,832628fffffffff,33.9
2022_EP_BPHIGH,832629fffffffff,32.9
2022_EP_BPHIGH,83262afffffffff,35.6
2022_EP_BPHIGH,83262bfffffffff,34.1
2022_EP_BPHIGH,83262cfffffffff,26.7
2022_EP_BPHIGH,83262dfffffffff,30.6
2022_EP_BPHIGH,83262efffffffff,31.1
2022_EP_BPHIGH,832630fffffffff,39.0
2022_EP_BPHIGH,832631fffffffff,33.6
2022_EP_BPHIGH,832632fffffffff,36.8
2022_EP_BPHIGH,832633fffffffff,34.2
2022_EP_BPHIGH,832634fffffffff,36.9
2022_EP_BPHIGH,832635fffffffff,35.5
2022_EP_BPHIGH,832636fffffffff,35.9
2022_EP_BPHIGH,832640fffffffff,33.5
2022_EP_BPHIGH,832641fffffffff,38.1
2022_EP_BPHIGH,832642fffffffff,35.2
2022_EP_BPHIGH,832643fffffffff,36.7
2022_EP_BPHIGH,832644fffffffff,34.7
2022_EP_BPHIGH,832645fffffffff,35.2
2022_EP_BPHIGH,832646fffffffff,33.6
2022_EP_BPHIGH,832648fffffffff,41.6
2022_EP_BPHIGH,832649fffffffff,39.6
