metric_key,metric_year,metric_id,title,description,metric_group,unit,value_type,severity_direction,palette_name,reverse_palette,legend_decimals,display_format,sort_order,min_value,max_value,p01,p05,p25,p50,p75,p95,p99,breaks_json,non_missing_count,missing_count
2022_E_OZONE,2022,E_OZONE,Ozone,"Annual mean number of days above the regulatory standard for Ozone (O3), averaged over 3-years",pollution,value,value,higher_is_worse,Purples,0,2,{:.2f},1,0.0,2.031999999999999,0.0,0.0,0.0,0.03,0.34,2.031999999999999,14.570800000000132,"[0.0, 0.0, 0.03, 0.34, 2.031999999999999]",693,0
2022_E_PM,2022,E_PM,PM2.5 (Fine Particulate Matter),"Annual mean number of days above the regulatory standard for Particulate Matter 2.5 (PM2.5), averaged over 3-years",pollution,value,value,higher_is_worse,Purples,0,2,{:.2f},2,4.492,9.848,3.9504,4.492,5.6,6.77,8.61,9.848,10.4208,"[4.492, 5.6, 6.77, 8.61, 9.847999999999999]",693,0
2022_EP_BPHIGH,2022,EP_BPHIGH,Blood Pressure,Percentage of individuals with raw high blood pressures values,health,percent,percentage,higher_is_worse,Reds,0,1,{:.1f}%,3,29.0,42.04,23.728,29.0,32.5,35.0,37.7,42.04,45.408,"[29.0, 32.5, 35.0, 37.7, 42.04]",693,0
2024_E_MINRTY,2024,E_MINRTY,Minority Status,Percentage of persons who identify as a minority,sociodemographic,percent,percentage,higher_is_worse,Blues,0,1,{:.1f}%,1,5.9,64.41999999999997,4.584,5.9,9.7,18.4,33.9,64.41999999999997,85.73600000000017,"[5.9, 9.7, 18.4, 33.9, 64.41999999999997]",693,0
2024_E_POV200,2024,E_POV200,Poverty,Percentage of persons with income below 200% of the federal poverty level,sociodemographic,percent,percentage,higher_is_worse,Blues,0,1,{:.1f}%,2,19.32478,47.70082,15.609296,19.32478,26.3553,31.7137,38.0183,47.70082,58.90126400000003,"[19.32478, 26.3553, 31.7137, 38.0183, 47.70082]",692,1
2024_E_NOHSDP,2024,E_NOHSDP,No High School Diploma,Percentage of persons with no high school diploma (age 25+),sociodemographic,percent,percentage,higher_is_worse,Blues,0,1,{:.1f}%,3,4.9,20.74,3.692,4.9,7.3,9.9,14.2,20.74,31.48800000000025,"[4.9, 7.3, 9.9, 14.2, 20.74]",693,0
2024_E_UNEMP,2024,E_UNEMP,Unemployment,Percentage of persons who are unemployed,sociodemographic,percent,percentage,higher_is_worse,Blues,0,1,{:.1f}%,4,1.9,9.139999999999995,0.992,1.9,3.4,4.6,5.9,9.139999999999995,14.888000000000046,"[1.9, 3.4, 4.6, 5.9, 9.139999999999997]",693,0
2024_E_RENTER,2024,E_RENTER,Renters,Percentage of housing units that are renter occupied,sociodemographic,percent,percentage,higher_is_worse,Blues,0,1,{:.1f}%,5,13.26,32.11999999999999,10.676,13.26,17.6,20.1,24.2,32.11999999999999,47.34400000000008,"[13.26, 17.6, 20.1, 24.2, 32.11999999999999]",692,1
2024_E_HOUBDN,2024,E_HOUBDN,Housing Cost Burden,"Percentage of households that make less than 75,000 who are considered burdened by housing costs",sociodemographic,percent,percentage,higher_is_worse,Blues,0,1,{:.1f}%,6,13.63786,25.82804,10.866876,13.63786,16.9147,18.9058,21.6246,25.82804,29.605120000000007,"[13.63786, 16.9147, 18.9058, 21.6246, 25.828039999999998]",692,1
2024_E_UNINSUR,2024,E_UNINSUR,Lack of Health Insurance,Percentage of persons who are uninsured,sociodemographic,percent,percentage,higher_is_worse,Blues,0,1,{:.1f}%,7,4.46,18.639999999999997,3.192,4.46,6.7,9.2,12.2,18.639999999999997,26.18000000000004,"[4.46, 6.7, 9.2, 12.2, 18.639999999999997]",692,1
