concept_id,flag
22274,1
22281,1
22288,1
22340,1
22350,1
22426,1
22492,1
22557,1
22665,1
22666,1
22722,1
22839,1
22856,1
22871,1
22945,1
22955,1
23034,1
23137,1
23164,0
23220,1
23237,0
23245,0
23247,1
23304,1
23325,1
23358,1
23567,1
23653,1
23731,1
23789,1
23798,1
23799,1
23806,1
23808,1
23865,1
23868,0
23986,0
23988,1
24006,0
24076,1
24134,1
24148,1
24198,1
24230,1
24296,0
24602,1
24609,1
24612,1
24660,1
24818,1
24884,1
24897,1
24909,1
24966,1
24969,1
24970,1
24973,1
24974,1
24977,1
24978,1
25056,0
25068,1
25189,1
25211,1
25297,1
25518,1
25572,0
25582,1
25698,1
25748,1
25780,1
25844,1
25965,0
26052,1
26060,1
26069,1
26141,1
26286,0
26361,1
26378,1
26441,1
26459,1
26514,1
26638,1
26662,1
26711,1
26718,0
26719,1
26727,1
26823,1
26847,0
26899,1
26908,1
26935,0
26942,1
27017,0
27026,1
27137,0
27321,1
27411,1
27419,1
27438,1
27516,1
27526,1
27587,1
27674,1
27826,1
27835,0
27918,1
28060,1
28083,0
28109,1
28115,1
28127,1
28179,1
28248,1
28281,1
28356,1
28385,0
28396,1
28403,1
28457,1
28461,1
28462,1
28714,1
28716,1
28779,1
28898,1
28974,1
29056,1
29735,1
29783,1
29979,1
30061,1
30124,0
30133,1
30163,1
30234,1
30274,1
30284,1
30333,1
30346,0
30356,0
30361,0
30365,1
30437,1
30439,1
30441,1
30442,1
30515,1
30678,0
30679,1
30683,1
30753,1
30770,1
30968,1
30969,1
30978,1
31057,0
31317,1
31335,1
31339,1
31386,1
31452,0
31509,1
31597,1
31598,1
31601,1
31602,0
31609,1
31610,0
31668,1
31720,1
31821,0
31884,1
31967,1
72245,1
72266,1
72332,1
72377,1
72390,1
72398,1
72399,1
72401,0
72403,1
72404,1
72405,1
72407,1
72410,0
72413,1
72415,1
72418,1
72421,1
72434,1
72457,1
72459,1
72460,1
72465,1
72468,1
72469,0
72481,1
72487,1
72497,0
72501,1
72516,0
72521,1
72562,1
72566,1
72576,1
72578,1
72618,0
72693,1
72697,1
72705,1
72708,1
72709,1
72711,1
72712,1
72714,1
72715,1
72717,1
72726,1
72737,1
72745,0
72748,1
72757,1
72786,0
72817,0
72857,1
72926,1
72973,1
72986,0
72988,1
72989,1
72990,1
72991,1
72992,0
72993,1
72994,1
72995,1
72997,1
73001,1
73008,0
73012,1
73017,1
73019,1
73021,1
73026,1
73036,1
73041,1
73042,0
73043,0
73045,1
73065,1
73068,1
73072,1
73075,1
73085,1
73089,1
73090,1
73091,1
73122,1
73153,1
73183,0
73184,0
73214,1
73231,1
73241,1
73268,0
73282,1
73287,1
73289,1
73290,0
73291,1
73297,1
73300,1
73301,1
73302,0
73307,1
73318,1
73334,1
73335,1
73336,1
73338,1
73341,1
73343,1
73349,1
73361,0
73362,1
73365,1
73366,1
73372,0
73373,0
73378,1
73383,1
73395,1
73409,1
73526,1
73534,1
73537,1
73546,0
73550,1
73553,1
73554,1
73555,1
73557,1
73560,1
73561,1
73562,1
73564,1
73568,1
73571,1
73574,1
73575,0
73576,1
73580,1
73584,1
73609,1
73614,1
73615,1
73616,1
73649,1
73673,1
73686,0
73712,1
73720,1
73723,1
73754,1
73781,1
73801,1
73819,1
73838,1
73840,1
73841,1
73842,1
73843,1
73845,1
73847,0
73849,1
73851,1
73854,1
73855,1
73866,1
73872,1
73884,1
73888,1
73889,1
73904,1
73906,1
73913,0
73923,1
73925,1
74052,1
74080,1
74082,1
74104,0
74114,1
74124,1
74125,1
74126,1
74127,1
74129,1
74130,1
74132,1
74135,0
74138,1
74150,1
74160,1
74174,1
74179,1
74182,1
74185,1
74188,1
74189,1
74192,1
74194,1
74211,0
74215,1
74216,1
74250,0
74322,1
74373,1
74392,0
74396,1
74399,1
74415,1
74434,1
74440,1
74444,1
74445,0
74447,1
74448,1
74450,1
74456,1
74458,1
74464,1
74468,1
74469,1
74470,0
74471,1
74472,1
74495,1
74496,1
74503,1
74507,1
74511,1
74522,1
74533,1
74564,1
74582,1
74606,0
74635,1
74698,1
74706,1
74716,1
74719,1
74722,1
74723,1
74724,1
74725,1
74726,1
74727,1
74728,1
74729,1
74731,1
74733,0
74737,1
74739,0
74740,0
74747,1
74763,1
74768,1
74772,0
74775,1
74777,1
74778,1
74783,1
74786,0
74806,1
74808,1
74809,1
74813,0
74816,1
74817,1
74855,1
74862,0
74864,1
74892,1
74949,1
74998,1
75004,1
75010,1
75035,1
75036,1
75037,1
75039,1
75040,1
75042,1
75043,1
75046,1
75047,0
75048,1
75050,1
75051,1
75052,1
75053,1
75054,1
75065,0
75070,0
75073,1
75090,1
75091,1
75092,1
75095,1
75096,1
75099,1
75103,1
75112,1
75114,1
75121,0
75126,1
75128,1
75206,1
75210,1
75311,1
75337,1
75343,1
75344,1
75345,1
75346,1
75347,1
75351,1
75354,0
75356,1
75365,1
75373,1
75375,1
75382,1
75385,1
75386,1
75387,1
75389,1
75406,1
75407,0
75408,1
75413,0
75426,1
75456,1
75488,1
75512,1
75555,1
75576,1
75580,1
75605,1
75608,1
75614,1
75617,1
75620,1
75621,1
75622,1
75623,1
75627,0
75628,0
75634,1
75635,1
75637,1
75639,1
75650,1
75652,1
75667,1
75668,1
75669,1
75670,1
75686,1
75687,1
75689,1
75690,1
75692,1
75708,1
75709,0
75721,1
75741,1
75756,1
75804,1
75860,1
75863,1
75865,0
75896,0
75897,1
75898,1
75899,1
75900,1
75908,1
75909,0
75910,1
75911,1
75915,1
75916,1
75920,1
75924,1
75932,0
75936,0
75941,1
75942,0
75943,1
75946,1
75949,1
75954,1
75970,1
75971,1
75994,1
75996,1
76002,1
76034,1
76122,1
76130,1
76150,0
76153,1
76154,1
76161,1
76191,0
76194,1
76196,1
76199,1
76202,1
76207,1
76221,1
76239,1
76240,1
76241,1
76255,1
76270,0
76273,1
76304,0
76349,0
76388,0
76396,1
76458,1
76467,1
76472,1
76482,1
76492,0
76498,1
76499,1
76500,0
76503,1
76504,1
76507,1
76508,1
76509,1
76521,1
76533,1
76542,1
76545,1
76550,1
76563,1
76565,1
76570,0
76573,1
76574,1
76595,1
76598,1
76611,1
76685,1
76725,1
76737,1
76745,1
76756,1
76761,1
76763,0
76769,1
76770,1
76772,1
76777,0
76778,1
76783,1
76784,0
76786,1
76789,1
76790,1
76791,1
76797,0
76798,1
76800,1
76801,1
76825,1
76835,1
76836,1
76838,1
76848,0
76870,1
76872,1
76887,1
76914,0
76992,1
77025,1
77029,1
77030,0
77056,1
77066,1
77067,1
77069,1
77070,1
77071,1
77072,1
77073,1
77074,1
77076,1
77079,1
77081,1
77112,1
77115,1
77119,1
77124,1
77129,1
77131,1
77139,1
77146,1
77156,1
77162,1
77178,1
77180,1
77182,1
77234,1
77310,1
77317,1
77340,0
77347,1
77348,1
77353,1
77355,1
77356,0
77357,0
77358,0
77360,1
77362,1
77364,1
77365,1
77372,1
77373,1
77387,0
77392,1
77395,1
77403,0
77405,1
77408,1
77421,1
77437,1
77455,0
77517,1
77600,1
77619,1
77624,1
77630,0
77631,1
