observation_source_concept_id,concepts_to_count
43528515,"43528510,43528511,43528514,43528509,43528513,43528512"
1384639,"43528561,43528917,43528562,43528560,43528558,43528559"
43528634,"43528633,43528628,43528629,43528630,702788,43528631"
43528761,"43528944,702783,43528676,43528674,43528675,43528677"
43529158,"43529152,43529154,43529156,43529157,43529153,43529155"
43529767,"43529764,43529191,43529765,43529763,43529766,43529762"
43529272,"43529268,43529269,43529271,43528489,43529270,43528490"
43529217,"43529214,43530563,43529216,43529218,43529215,43529213"
702786,"43529813,43528486,43529812,43528487,43529814,43529811"
43529966,"43529960,43529961,43529963,43529962,43529964,43529965"
43529638,"43529634,43529633,43529632,43529635,43529636,43529637"
