question_concept_id,question,answer_concept_id,answer
1740559,"Including yourself, who in your family has had insomnia? Select all that apply.",1384444,"Including yourself, who in your family has had insomnia? - Self"
1740561,"Including yourself, who in your family has had blindness, all causes? Select all that apply.",1740850,"Including yourself, who in your family has had blindness, all causes? - Father"
43530516,About how old were you when you were first told you had depression?,1385234,About how old were you when you were first told you had depression? - Elderly (75+)
43530517,About how old were you when you were first told you had an eating disorder?,1384752,About how old were you when you were first told you had an eating disorder? - Child (0-11)
1740566,"Including yourself, who in your family has had memory loss or impairment? Select all that apply.",1740767,"Including yourself, who in your family has had memory loss or impairment? - Mother"
1740578,"Including yourself, who in your family has had hemorrhoids? Select all that apply.",1740828,"Including yourself, who in your family has had hemorrhoids? - Son"
43530533,About how old were you when you were first told you had neuropathy?,1384887,About how old were you when you were first told you had neuropathy? - Elderly (75+)
1740586,"Including yourself, who in your family has had chronic fatigue? Select all that apply.",1740879,"Including yourself, who in your family has had chronic fatigue? - Mother"
43530542,About how old were you when you were first told you had obesity?,1385415,About how old were you when you were first told you had obesity? - Older adult (65-74)
1740590,"Including yourself, who in your family has had a pancreatitis? Select all that apply.",1740966,"Including yourself, who in your family has had a pancreatitis? - Father"
43530545,About how old were you when you were first told you had vitamin D deficiency?,1385562,About how old were you when you were first told you had vitamin D deficiency? - Elderly (75+)
43530548,About how old were you when you were first told you had sleep apnea?,1385003,About how old were you when you were first told you had sleep apnea? - Adult (18-64)
43530548,About how old were you when you were first told you had sleep apnea?,1385492,About how old were you when you were first told you had sleep apnea? - Adolescent (12-17)
1384501,Are you still seeing a doctor or health care provider for polycystic ovarian syndrome?,1385470,Are you still seeing a doctor or health care provider for polycystic ovarian syndrome? - Yes
43530550,About how old were you when you were first told you had carpal tunnel syndrome?,1385010,About how old were you when you were first told you had carpal tunnel syndrome? - Adult (18-64)
43529272,Have you or anyone in your family ever been diagnosed with the following brain and nervous system conditions? Think only of the people you are related to by blood. Select all that apply.,1740845,Have you or anyone in your family ever been diagnosed with the following brain and nervous system conditions? Think only of the people you are related to by blood. - Traumatic brain injury (TBI)
1384505,Are you currently prescribed medications and/or receiving treatment for shingles?,1385477,Are you currently prescribed medications and/or receiving treatment for shingles? - Yes
1740601,"Including yourself, who in your family has had vitamin D deficiency? Select all that apply.",43529968,"Including yourself, who in your family has had vitamin D deficiency? - Self"
1384506,Are you still seeing a doctor or health care provider for hepatitis B?,1385317,Are you still seeing a doctor or health care provider for hepatitis B? - Yes
43528768,Are you currently prescribed medications and/or receiving treatment for bone cancer?,43529434,Are you currently prescribed medications and/or receiving treatment for bone cancer? - No
702786,"Have you or anyone in your family ever been diagnosed with the following bone, joint, and muscle conditions? Think only of the people you are related to by blood. Select all that apply.",43529778,"Have you or anyone in your family ever been diagnosed with the following bone, joint, and muscle conditions? Think only of the people you are related to by blood. - Rheumatoid arthritis (RA)"
43528779,Are you currently prescribed medications and/or receiving treatment for lung cancer?,43529486,Are you currently prescribed medications and/or receiving treatment for lung cancer? - No
1740620,"Including yourself, who in your family has had acute kidney disease with no current dialysis? Select all that apply.",1740911,"Including yourself, who in your family has had acute kidney disease with no current dialysis? - Father"
1384528,Are you currently prescribed medications and/or receiving treatment for other brain or nervous system condition(s)?,1384771,Are you currently prescribed medications and/or receiving treatment for other brain or nervous system condition(s)? - Yes
43528789,Are you currently prescribed medications and/or receiving treatment for congestive heart failure?,43530141,Are you currently prescribed medications and/or receiving treatment for congestive heart failure? - Yes
43528791,Are you currently prescribed medications and/or receiving treatment for a heart attack?,43529469,Are you currently prescribed medications and/or receiving treatment for a heart attack? - No
43530328,Are you still seeing a doctor or health care provider for ulcerative colitis?,43529569,Are you still seeing a doctor or health care provider for ulcerative colitis? - No
1740637,"Including yourself, who in your family has had other arthritis? Select all that apply.",1740969,"Including yourself, who in your family has had other arthritis? - Grandparent"
43528810,"Are you currently prescribed medications and/or receiving treatment for a liver condition (e.g., cirrhosis)?",43530178,"Are you currently prescribed medications and/or receiving treatment for a liver condition (e.g., cirrhosis)? - Yes"
1740650,"Including yourself, who in your family has had kidney disease with dialysis? Select all that apply.",1740754,"Including yourself, who in your family has had kidney disease with dialysis? - Sibling"
43530352,Are you still seeing a doctor or health care provider for kidney disease with dialysis?,43529381,Are you still seeing a doctor or health care provider for kidney disease with dialysis? - No
43528563,Have you or anyone in your family ever been diagnosed with the following heart and blood conditions? Think only of the people you are related to by blood. Select all that apply.,1740940,Have you or anyone in your family ever been diagnosed with the following heart and blood conditions? Think only of the people you are related to by blood. - Other heart or blood condition
43528823,Are you currently prescribed medications and/or receiving treatment for dry eyes?,43529453,Are you currently prescribed medications and/or receiving treatment for dry eyes? - No
43528827,Are you currently prescribed medications and/or receiving treatment for macular degeneration?,43529488,Are you currently prescribed medications and/or receiving treatment for macular degeneration? - No
1384574,About how old were you when you were first told you had autism spectrum disorder?,1384787,About how old were you when you were first told you had autism spectrum disorder? - Adult (18-64)
43530372,Are you still seeing a doctor or health care provider for multiple sclerosis (MS)?,43529392,Are you still seeing a doctor or health care provider for multiple sclerosis (MS)? - No
1740681,"Including yourself, who in your family has had a hernia? Select all that apply.",1740944,"Including yourself, who in your family has had a hernia? - Son"
43528844,Are you currently prescribed medications and/or receiving treatment for an eating disorder?,43529454,Are you currently prescribed medications and/or receiving treatment for an eating disorder? - No
1384601,Are you currently prescribed medications and/or receiving treatment for a drug use disorder?,1384997,Are you currently prescribed medications and/or receiving treatment for a drug use disorder? - No
836769,"Including yourself, who in your family has had blood or soft tissue cancer? Select all that apply.",43530277,"Including yourself, who in your family has had blood or soft tissue cancer? - Daughter"
836774,"Including yourself, who in your family has had esophageal cancer? Select all that apply.",43530428,"Including yourself, who in your family has had esophageal cancer? - Mother"
836790,Who in your family has had sudden death? Select all that apply.,1384455,Who in your family has had sudden death? - Daughter
836790,Who in your family has had sudden death? Select all that apply.,43529883,Who in your family has had sudden death? - Grandparent
1384635,About how old were you when you were first told you had other lung condition(s)?,1384958,About how old were you when you were first told you had other lung condition(s)? - Adult (18-64)
1384637,About how old were you when you were first told you had chickenpox?,1384702,About how old were you when you were first told you had chickenpox? - Adult (18-64)
836800,"Including yourself, who in your family has had type 2 diabetes? Select all that apply.",43529932,"Including yourself, who in your family has had type 2 diabetes? - Self"
836804,"Including yourself, who in your family has had depression? Select all that apply.",43528617,"Including yourself, who in your family has had depression? - Daughter"
43530440,About how old were you when you were first told you had bladder cancer?,1385318,About how old were you when you were first told you had bladder cancer? - Adult (18-64)
836810,"Including yourself, who in your family has had muscular dystrophy (MD)? Select all that apply.",43529253,"Including yourself, who in your family has had muscular dystrophy (MD)? - Father"
836811,"Including yourself, who in your family has had neuropathy? Select all that apply.",43529276,"Including yourself, who in your family has had neuropathy? - Mother"
836815,"Including yourself, who in your family has had asthma? Select all that apply.",43528439,"Including yourself, who in your family has had asthma? - Self"
836816,"Including yourself, who in your family has had sleep apnea? Select all that apply.",43529832,"Including yourself, who in your family has had sleep apnea? - Daughter"
836817,"Including yourself, who in your family has had gout? Select all that apply.",43528740,"Including yourself, who in your family has had gout? - Sibling"
836820,"Including yourself, who in your family has had rheumatoid arthritis (RA)? Select all that apply.",43529775,"Including yourself, who in your family has had rheumatoid arthritis (RA)? - Grandparent"
836821,"Including yourself, who in your family has had spine, muscle, or bone disorders (non-cancer)? Select all that apply.",43529864,"Including yourself, who in your family has had spine, muscle, or bone disorders (non-cancer)? - Son"
836823,"Including yourself, who in your family has had cataracts? Select all that apply.",43528531,"Including yourself, who in your family has had cataracts? - Son"
836823,"Including yourself, who in your family has had cataracts? Select all that apply.",43528527,"Including yourself, who in your family has had cataracts? - Grandparent"
836829,"Including yourself, who in your family has had heart valve disease? Select all that apply.",43528921,"Including yourself, who in your family has had heart valve disease? - Grandparent"
43528678,Have you or anyone in your family ever been diagnosed with the following hormone and endocrine conditions? Think only of the people you are related to by blood. Select all that apply.,43529065,Have you or anyone in your family ever been diagnosed with the following hormone and endocrine conditions? Think only of the people you are related to by blood. - Hyperthyroidism
1384423,Are you still seeing a doctor or health care provider for other heart or blood condition(s)?,1385532,Are you still seeing a doctor or health care provider for other heart or blood condition(s)? - Yes
836841,Have you or anyone in your family ever been diagnosed with the following conditions? Think only of the people you are related to by blood. Select all that apply.,836875,Have you or anyone in your family ever been diagnosed with the following conditions? Think only of the people you are related to by blood. - Endometriosis
43530474,About how old were you when you were first told you had bowel obstruction?,1385307,About how old were you when you were first told you had bowel obstruction? - Older adult (65-74)
836842,"Including yourself, who in your family has had skin condition(s) (e.g., eczema, psoriasis)? Select all that apply.",43529829,"Including yourself, who in your family has had skin condition(s) (e.g., eczema, psoriasis)? - Sibling"
836846,"Including yourself, who in your family has had gall stones? Select all that apply.",43528721,"Including yourself, who in your family has had gall stones? - Father"
836846,"Including yourself, who in your family has had gall stones? Select all that apply.",43528723,"Including yourself, who in your family has had gall stones? - Mother"
836848,"Including yourself, who in your family has had other/unknown diabetes? Select all that apply.",43529672,"Including yourself, who in your family has had other/unknown diabetes? - Grandparent"
43530481,About how old were you when you were first told you had irritable bowel syndrome (IBS)?,1384965,About how old were you when you were first told you had irritable bowel syndrome (IBS)? - Older adult (65-74)
43530483,About how old were you when you were first told you had pancreatitis?,1384959,About how old were you when you were first told you had pancreatitis? - Adult (18-64)
1384442,Are you currently prescribed medications and/or receiving treatment for chickenpox?,1385448,Are you currently prescribed medications and/or receiving treatment for chickenpox? - Yes
836860,"Including yourself, who in your family has had pseudogout (CPPD)? Select all that apply.",43529741,"Including yourself, who in your family has had pseudogout (CPPD)? - Father"
1740585,"Including yourself, who in your family has had other hormone/endocrine condition? Select all that apply.",1740842,"Including yourself, who in your family has had other hormone/endocrine condition? - Grandparent"
1384492,About how old were you when you were first told you had Zika virus?,1385019,About how old were you when you were first told you had Zika virus? - Adult (18-64)
43528781,Are you currently prescribed medications and/or receiving treatment for pancreatic cancer?,43530197,Are you currently prescribed medications and/or receiving treatment for pancreatic cancer? - Yes
43528858,Are you currently prescribed medications and/or receiving treatment for muscular dystrophy (MD)?,43530185,Are you currently prescribed medications and/or receiving treatment for muscular dystrophy (MD)? - Yes
1384628,Are you currently prescribed medications and/or receiving treatment for Lyme disease?,1385620,Are you currently prescribed medications and/or receiving treatment for Lyme disease? - Yes
836812,"Including yourself, who in your family has had Parkinson's disease? Select all that apply.",43529694,"Including yourself, who in your family has had Parkinson's disease? - Son"
1740585,"Including yourself, who in your family has had other hormone/endocrine condition? Select all that apply.",1740734,"Including yourself, who in your family has had other hormone/endocrine condition? - Father"
43530373,Are you still seeing a doctor or health care provider for muscular dystrophy (MD)?,43529393,Are you still seeing a doctor or health care provider for muscular dystrophy (MD)? - No
1384652,About how old were you when you were first told you had West Nile virus?,1385194,About how old were you when you were first told you had West Nile virus? - Adolescent (12-17)
43530483,About how old were you when you were first told you had pancreatitis?,1385259,About how old were you when you were first told you had pancreatitis? - Child (0-11)
43530505,About how old were you when you were first told you had HIV/AIDS?,1385525,About how old were you when you were first told you had HIV/AIDS? - Older adult (65-74)
43530515,About how old were you when you were first told you had bipolar disorder?,1385250,About how old were you when you were first told you had bipolar disorder? - Elderly (75+)
43530458,About how old were you when you were first told you had stomach cancer?,1385001,About how old were you when you were first told you had stomach cancer? - Adolescent (12-17)
1740673,About how old were you when you were first told you had aortic aneurysm?,1740731,About how old were you when you were first told you had aortic aneurysm? - Child (0-11)
43530445,About how old were you when you were first told you had cervical cancer?,1385305,About how old were you when you were first told you had cervical cancer? - Child (0-11)
43530496,About how old were you when you were first told you had farsightedness?,1385426,About how old were you when you were first told you had farsightedness? - Older adult (65-74)
43530506,About how old were you when you were first told you had tuberculosis?,1385181,About how old were you when you were first told you had tuberculosis? - Adult (18-64)
43530509,About how old were you when you were first told you had kidney stones?,1384857,About how old were you when you were first told you had kidney stones? - Older adult (65-74)
1384462,About how old were you when you were first told you had other heart or blood condition(s)?,1384800,About how old were you when you were first told you had other heart or blood condition(s)? - Older adult (65-74)
1384466,About how old were you when you were first told you had ovarian cancer?,1385377,About how old were you when you were first told you had ovarian cancer? - Older adult (65-74)
1384468,Are you currently prescribed medications and/or receiving treatment for other digestive condition(s)?,1385340,Are you currently prescribed medications and/or receiving treatment for other digestive condition(s)? - No
1384470,About how old were you when you were first told you had other arthritis?,1385364,About how old were you when you were first told you had other arthritis? - Elderly (75+)
43530521,About how old were you when you were first told you had a social phobia?,1384925,About how old were you when you were first told you had a social phobia? - Adolescent (12-17)
