concept_id,"concept_name","concept_code","survey_name",survey_concept_id,count_value,sub,"path",is_parent_question,generate_counts,question_order_number
702783,"Please indicate if your brothers and/or sisters [people with the same mother and/or father as you] have ever been diagnosed with any of these hormone/endocrine conditions. Think only of the person you are related to by blood. (select all that apply)","DiagnosedHealthCondition_SiblingEndocrineCondition","Family Medical History",43528698,40740,1,"43528649.702783.702783",1,0,0
702786,"Diagnosed Health Condition: Skeletal Muscular Condition","DiagnosedHealthCondition_SkeletalMuscularCondition","Family Medical History",43528698,20,0,"702786",0,0,10
702788,"Please indicate if your brothers and/or sisters [people with the same mother and/or father as you] have ever been diagnosed with any of these digestive conditions. Think only of the person you are related to by blood. (select all that apply)","DiagnosedHealthCondition_SiblingDigestiveCondition","Family Medical History",43528698,40740,1,"43528649.702788.702788",1,0,0
903058,"In the PAST THREE MONTHS, how often have you used prescription stimulants for non-medical reasons (Vyvanse, Ritalin, Concerta, Dexedrine, Adderall, diet pills, etc.)","Past3MonthUseFrequency_PrescriptionStimulant3Month","Lifestyle",1585855,0,1,"1585636.1585639.903058",1,1,7
903096," Skip","PMI_Skip","Family Medical History",43528698,20,1,"1384639.903096.903096",0,0,0
903096," Skip","PMI_Skip","Family Medical History",43528698,20,1,"43528515.903096.903096",0,0,0
903096," Skip","PMI_Skip","Family Medical History",43528698,20,1,"43528634.903096.903096",0,0,0
903096," Skip","PMI_Skip","Family Medical History",43528698,20,1,"43528649.903096.903096",0,0,0
903096," Skip","PMI_Skip","Family Medical History",43528698,20,1,"43528650.903096.903096",0,0,0
903096," Skip","PMI_Skip","Family Medical History",43528698,20,1,"43528651.903096.903096",0,0,0
903096," Skip","PMI_Skip","Family Medical History",43528698,20,1,"43528652.903096.903096",0,0,0
903096," Skip","PMI_Skip","Family Medical History",43528698,20,1,"43528761.903096.903096",0,0,0
903096," Skip","PMI_Skip","Family Medical History",43528698,20,1,"43528763.903096.903096",0,0,0
903096," Skip","PMI_Skip","Family Medical History",43528698,20,1,"43528764.903096.903096",0,0,0
903096," Skip","PMI_Skip","Family Medical History",43528698,20,1,"43528765.903096.903096",0,0,0
903096," Skip","PMI_Skip","Family Medical History",43528698,20,1,"43529158.903096.903096",0,0,0
903096," Skip","PMI_Skip","Family Medical History",43528698,20,1,"43529217.903096.903096",0,0,0
903096," Skip","PMI_Skip","Family Medical History",43528698,20,1,"43529272.903096.903096",0,0,0
903096," Skip","PMI_Skip","Family Medical History",43528698,20,1,"43529638.903096.903096",0,0,0
903096," Skip","PMI_Skip","Family Medical History",43528698,20,1,"43529767.903096.903096",0,0,0
903096," Skip","PMI_Skip","Family Medical History",43528698,20,1,"43529966.903096.903096",0,0,0
903096," Skip","PMI_Skip","Family Medical History",43528698,20,1,"702786.903096.903096",0,0,0
1384388,"Are you currently prescribed medications and/or receiving treatment for Astigmatism?","HearingVision_RxMedsforAstigmatism","Personal Medical History",43529712,0,1,"43528759.1384648.1384388",1,1,8
1384390," Has a doctor or health care provider ever told you that you have or had any of the following digestive conditions? (select all that apply)","Digestive_DigestiveSystemConditions","Personal Medical History",43529712,0,0,"1384390",1,1,4
1384392,"Other Conditions: Reactions Anesthesia","OtherConditions_ReactionsAnesthesia","Family Medical History",43528698,20,1,"43529638.1384392.1384392",0,0,0
1384393,"About how old were you when you were first told you had Chronic Lung Disease?","Respiratory_HowOldWereYouChronicLungDisease","Personal Medical History",43529712,0,1,"1384592.1384567.1384393",1,1,2
1384394,"About how old were you when you were first told you had any other diagnosis?","Other_HowOldWereYouOtherDiagnosis","Personal Medical History",43529712,0,1,"1384430.1384631.1384394",1,1,12
