source_concept,standard_concept
4124453,8910
4124444,8861
4305035,8991
4120726,8749
4118124,8541
4122384,8576
4122386,9373
4122502,8909
4117989,9531
4121405,8729
8990,8989
4118155,8795
4117786,9550
4122414,8751
4118145,8587
4118133,8923
4121384,8583
8916,9651
4120713,8554
4190629,8554
4121007,8555
45757552,8873
4117990,9158
4117795,8479
4124425,8739
4121397,8837
4121405,8729
4124427,9630
4118126,8752
4117647,9157
4171221,9100
4118319,44777583
4122417,8817
4124447,8736
4118000,8645
4303374,8848
4124422,8504
4117804,8857
4118306,8810
4118318,8810
4117989,9531
4190519,9531

