"concept_id_1","concept_id_2","relationship_id"
702783,43528698,"Has Module"
702788,43528698,"Has Module"
760975,43529712,"Has Module"
761078,43529712,"Has Module"
761094,43528698,"Has Module"
761986,43529712,"Has Module"
762055,43529712,"Has Module"
762058,43529712,"Has Module"
762163,43528698,"Has Module"
762362,43528698,"Has Module"
762366,43528698,"Has Module"
762409,43528698,"Has Module"
762632,43529712,"Has Module"
763396,43529712,"Has Module"
764545,43528698,"Has Module"
764549,43528698,"Has Module"
764552,43528698,"Has Module"
764759,43528698,"Has Module"
765030,43529712,"Has Module"
765136,43529712,"Has Module"
765559,43529712,"Has Module"
765838,43529712,"Has Module"
903058,1585855,"Has Module"
903062,1585855,"Has Module"
903063,1585855,"Has Module"
903064,1585855,"Has Module"
903065,1585710,"Has Module"
1384388,43529712,"Has Module"
1384390,43529712,"Has Module"
1384393,43529712,"Has Module"
1384394,43529712,"Has Module"
1384398,43529712,"Has Module"
1384399,43529712,"Has Module"
1384401,43529712,"Has Module"
1384403,1586134,"Has Module"
1384403,43528895,"Has Module"
1384409,43529712,"Has Module"
1384410,43529712,"Has Module"
1384416,43529712,"Has Module"
1384418,43529712,"Has Module"
1384420,43529712,"Has Module"
1384423,43529712,"Has Module"
1384424,43529712,"Has Module"
1384425,43529712,"Has Module"
1384426,43529712,"Has Module"
1384430,43529712,"Has Module"
1384431,43529712,"Has Module"
1384432,43529712,"Has Module"
1384433,43529712,"Has Module"
1384434,43529712,"Has Module"
1384437,43529712,"Has Module"
1384438,43529712,"Has Module"
1384442,43529712,"Has Module"
1384447,43529712,"Has Module"
1384448,43529712,"Has Module"
1384451,43529712,"Has Module"
1384456,43529712,"Has Module"
1384459,43529712,"Has Module"
1384460,43529712,"Has Module"
1384462,43529712,"Has Module"
1384463,43529712,"Has Module"
1384465,43529712,"Has Module"
1384466,43529712,"Has Module"
1384468,43529712,"Has Module"
1384470,43529712,"Has Module"
1384473,43529712,"Has Module"
1384474,43529712,"Has Module"
1384476,43529712,"Has Module"
1384478,43529712,"Has Module"
1384479,43529712,"Has Module"
1384480,43529712,"Has Module"
1384482,43529712,"Has Module"
1384483,43529712,"Has Module"
1384485,43529712,"Has Module"
1384486,43529712,"Has Module"
1384487,43529712,"Has Module"
1384489,43529712,"Has Module"
1384490,43529712,"Has Module"
1384492,43529712,"Has Module"
1384493,43529712,"Has Module"
1384494,43529712,"Has Module"
1384495,43529712,"Has Module"
1384500,43529712,"Has Module"
1384501,43529712,"Has Module"
1384502,43529712,"Has Module"
1384505,43529712,"Has Module"
1384506,43529712,"Has Module"
1384507,43529712,"Has Module"
1384508,43529712,"Has Module"
1384509,43529712,"Has Module"
1384511,43529712,"Has Module"
1384513,43529712,"Has Module"
1384514,43529712,"Has Module"
1384517,43529712,"Has Module"
1384518,43529712,"Has Module"
1384522,43529712,"Has Module"
1384525,43529712,"Has Module"
1384526,43529712,"Has Module"
1384528,43529712,"Has Module"
1384529,43529712,"Has Module"
1384530,43529712,"Has Module"
1384532,43529712,"Has Module"
1384535,43529712,"Has Module"
1384536,43529712,"Has Module"
1384537,43529712,"Has Module"
1384538,43529712,"Has Module"
1384539,43529712,"Has Module"
1384540,43529712,"Has Module"
1384541,43529712,"Has Module"
1384542,43529712,"Has Module"
1384543,43529712,"Has Module"
1384551,43529712,"Has Module"
1384552,43529712,"Has Module"
1384553,43529712,"Has Module"
1384554,43529712,"Has Module"
1384556,43529712,"Has Module"
1384560,43529712,"Has Module"
1384562,43529712,"Has Module"
1384566,43529712,"Has Module"
1384569,43529712,"Has Module"
1384570,43529712,"Has Module"
1384571,43529712,"Has Module"
1384572,43529712,"Has Module"
1384573,43529712,"Has Module"
1384574,43529712,"Has Module"
1384576,43529712,"Has Module"
1384580,43529712,"Has Module"
1384584,43529712,"Has Module"
1384587,43529712,"Has Module"
1384589,43529712,"Has Module"
1384592,43529712,"Has Module"
