id,concept_id,"concept_name","concept_code","survey_name",survey_concept_id,count_value,sub,"path",is_parent_question,generate_counts,order_number,"question_string","type","showup_date",parent_question_concept_id,parent_answer_concept_id
1268,596884,"Did you receive the COVID-19 vaccination?","cdc_covid_xx","cope",1333342,0,0,"596884",1,1,17,"Did you receive the COVID-19 vaccination?","QUESTION","2021-02-03 02:38:48",596884,596884
1269,596885,"How many doses of the vaccine did you receive?","cdc_covid_xx_a","cope",1333342,0,1,"596884.1332898.596885",0,1,17,"How many doses of the vaccine did you receive?","QUESTION","2021-02-03 02:38:48",596884,1332898
1270,596888,"Which vaccine did you receive?","cdc_covid_xx_b","cope",1333342,0,1,"596884.1332898.596888",0,1,17,"Which vaccine did you receive?","QUESTION","2021-02-03 02:38:48",596884,1332898
1260,596892,"Vaccine Perceptions","cope_s17","cope",1333342,0,0,"596892",0,0,14,"Vaccine Perceptions","TOPIC","2000-01-01 00:00:00",596892,596892
1105,702786,"Has anyone in your family ever been diagnosed with the following bone, joint, and muscle conditions? Think only of the people you are related to by blood. Select all that apply.","DiagnosedHealthCondition_SkeletalMuscularCondition","Family Health History",43528698,0,0,"702786",1,1,10,"Has anyone in your family ever been diagnosed with the following bone, joint, and muscle conditions? Think only of the people you are related to by blood. Select all that apply.","QUESTION","2018-06-01 15:23:42",702786,702786
1261,705047,"Did you receive the flu vaccination in the past month?","dmfs_27","cope",1333342,0,0,"705047",1,1,15,"Did you receive the flu vaccination in the past month?","QUESTION","2020-10-27 11:58:13",705047,705047
1248,713888,"When did your COVID-19 symptoms begin?","copect_40_xx15_a","cope",1333342,0,1,"1333156.1332898.713888",0,1,10,"When did your COVID-19 symptoms begin?","QUESTION","2020-10-27 12:23:13",1333156,1332898
2550,765937,"Did you receive an additional dose of the COVID-19 vaccination? This includes boosters or 3 full doses of the COVID-19 vaccine.","cdc_covid_xx_dose3","Winter Minute Survey on COVID-19 Vaccines",765936,0,1,"905045.1332898.905052.1332844.905048.1332898.905056.1332844.765937",0,1,1,"Did you receive an additional dose of the COVID-19 vaccination? This includes boosters or 3 full doses of the COVID-19 vaccine.","QUESTION","2021-10-28 11:05:49",905056,1332844
2547,765937,"Did you receive an additional dose of the COVID-19 vaccination? This includes boosters or 3 full doses of the COVID-19 vaccine.","cdc_covid_xx_dose3","Winter Minute Survey on COVID-19 Vaccines",765936,0,1,"905045.1332898.905052.596880.905048.1332898.905056.596880.765937",0,1,1,"Did you receive an additional dose of the COVID-19 vaccination? This includes boosters or 3 full doses of the COVID-19 vaccine.","QUESTION","2021-10-28 11:05:49",905056,596880
2548,765937,"Did you receive an additional dose of the COVID-19 vaccination? This includes boosters or 3 full doses of the COVID-19 vaccine.","cdc_covid_xx_dose3","Winter Minute Survey on COVID-19 Vaccines",765936,0,1,"905045.1332898.905052.596882.905048.1332898.905056.596882.765937",0,1,1,"Did you receive an additional dose of the COVID-19 vaccination? This includes boosters or 3 full doses of the COVID-19 vaccine.","QUESTION","2021-10-28 11:05:49",905056,596882
2549,765937,"Did you receive an additional dose of the COVID-19 vaccination? This includes boosters or 3 full doses of the COVID-19 vaccine.","cdc_covid_xx_dose3","Winter Minute Survey on COVID-19 Vaccines",765936,0,1,"905045.1332898.905052.903640.905048.1332898.905056.903640.765937",0,1,1,"Did you receive an additional dose of the COVID-19 vaccination? This includes boosters or 3 full doses of the COVID-19 vaccine.","QUESTION","2021-10-28 11:05:49",905056,903640
2546,765937,"Did you receive an additional dose of the COVID-19 vaccination? This includes boosters or 3 full doses of the COVID-19 vaccine.","cdc_covid_xx_dose3","Winter Minute Survey on COVID-19 Vaccines",765936,0,1,"905045.1332898.905052.905024.905048.1332898.905056.905024.765937",0,1,1,"Did you receive an additional dose of the COVID-19 vaccination? This includes boosters or 3 full doses of the COVID-19 vaccine.","QUESTION","2021-10-28 11:05:49",905056,905024
2545,765937,"Did you receive an additional dose of the COVID-19 vaccination? This includes boosters or 3 full doses of the COVID-19 vaccine.","cdc_covid_xx_dose3","Winter Minute Survey on COVID-19 Vaccines",765936,0,1,"905045.1332898.905052.905036.765937",0,1,1,"Did you receive an additional dose of the COVID-19 vaccination? This includes boosters or 3 full doses of the COVID-19 vaccine.","QUESTION","2021-10-28 11:05:49",905052,905036
2754,765953,"Have you received a dose in addition to the one(s) previously indicated?This includes boosters or 10 full doses of the COVID-19 vaccine?","cdc_covid_xx_dose10","Winter Minute Survey on COVID-19 Vaccines",765936,0,1,"905045.1332898.905052.1332844.905048.1332898.905056.1332844.765937.1332898.765961.1332898.765962.1332898.765963.1332898.765964.1332898.765965.1332898.765966.1332898.765953",0,1,1,"Have you received a dose in addition to the one(s) previously indicated?This includes boosters or 10 full doses of the COVID-19 vaccine?","QUESTION","2021-10-28 16:41:23",765966,1332898
2751,765953,"Have you received a dose in addition to the one(s) previously indicated?This includes boosters or 10 full doses of the COVID-19 vaccine?","cdc_covid_xx_dose10","Winter Minute Survey on COVID-19 Vaccines",765936,0,1,"905045.1332898.905052.596880.905048.1332898.905056.596880.765937.1332898.765961.1332898.765962.1332898.765963.1332898.765964.1332898.765965.1332898.765966.1332898.765953",0,1,1,"Have you received a dose in addition to the one(s) previously indicated?This includes boosters or 10 full doses of the COVID-19 vaccine?","QUESTION","2021-10-28 16:41:23",765966,1332898
2752,765953,"Have you received a dose in addition to the one(s) previously indicated?This includes boosters or 10 full doses of the COVID-19 vaccine?","cdc_covid_xx_dose10","Winter Minute Survey on COVID-19 Vaccines",765936,0,1,"905045.1332898.905052.596882.905048.1332898.905056.596882.765937.1332898.765961.1332898.765962.1332898.765963.1332898.765964.1332898.765965.1332898.765966.1332898.765953",0,1,1,"Have you received a dose in addition to the one(s) previously indicated?This includes boosters or 10 full doses of the COVID-19 vaccine?","QUESTION","2021-10-28 16:41:23",765966,1332898
2753,765953,"Have you received a dose in addition to the one(s) previously indicated?This includes boosters or 10 full doses of the COVID-19 vaccine?","cdc_covid_xx_dose10","Winter Minute Survey on COVID-19 Vaccines",765936,0,1,"905045.1332898.905052.903640.905048.1332898.905056.903640.765937.1332898.765961.1332898.765962.1332898.765963.1332898.765964.1332898.765965.1332898.765966.1332898.765953",0,1,1,"Have you received a dose in addition to the one(s) previously indicated?This includes boosters or 10 full doses of the COVID-19 vaccine?","QUESTION","2021-10-28 16:41:23",765966,1332898
2750,765953,"Have you received a dose in addition to the one(s) previously indicated?This includes boosters or 10 full doses of the COVID-19 vaccine?","cdc_covid_xx_dose10","Winter Minute Survey on COVID-19 Vaccines",765936,0,1,"905045.1332898.905052.905024.905048.1332898.905056.905024.765937.1332898.765961.1332898.765962.1332898.765963.1332898.765964.1332898.765965.1332898.765966.1332898.765953",0,1,1,"Have you received a dose in addition to the one(s) previously indicated?This includes boosters or 10 full doses of the COVID-19 vaccine?","QUESTION","2021-10-28 16:41:23",765966,1332898
2749,765953,"Have you received a dose in addition to the one(s) previously indicated?This includes boosters or 10 full doses of the COVID-19 vaccine?","cdc_covid_xx_dose10","Winter Minute Survey on COVID-19 Vaccines",765936,0,1,"905045.1332898.905052.905036.765937.1332898.765961.1332898.765962.1332898.765963.1332898.765964.1332898.765965.1332898.765966.1332898.765953",0,1,1,"Have you received a dose in addition to the one(s) previously indicated?This includes boosters or 10 full doses of the COVID-19 vaccine?","QUESTION","2021-10-28 16:41:23",765966,1332898
2778,765954,"Have you received a dose in addition to the one(s) previously indicated?This includes boosters or 11 full doses of the COVID-19 vaccine?","cdc_covid_xx_dose11","Winter Minute Survey on COVID-19 Vaccines",765936,0,1,"905045.1332898.905052.1332844.905048.1332898.905056.1332844.765937.1332898.765961.1332898.765962.1332898.765963.1332898.765964.1332898.765965.1332898.765966.1332898.765953.1332898.765954",0,1,1,"Have you received a dose in addition to the one(s) previously indicated?This includes boosters or 11 full doses of the COVID-19 vaccine?","QUESTION","2021-10-28 16:41:23",765953,1332898
2775,765954,"Have you received a dose in addition to the one(s) previously indicated?This includes boosters or 11 full doses of the COVID-19 vaccine?","cdc_covid_xx_dose11","Winter Minute Survey on COVID-19 Vaccines",765936,0,1,"905045.1332898.905052.596880.905048.1332898.905056.596880.765937.1332898.765961.1332898.765962.1332898.765963.1332898.765964.1332898.765965.1332898.765966.1332898.765953.1332898.765954",0,1,1,"Have you received a dose in addition to the one(s) previously indicated?This includes boosters or 11 full doses of the COVID-19 vaccine?","QUESTION","2021-10-28 16:41:23",765953,1332898
2776,765954,"Have you received a dose in addition to the one(s) previously indicated?This includes boosters or 11 full doses of the COVID-19 vaccine?","cdc_covid_xx_dose11","Winter Minute Survey on COVID-19 Vaccines",765936,0,1,"905045.1332898.905052.596882.905048.1332898.905056.596882.765937.1332898.765961.1332898.765962.1332898.765963.1332898.765964.1332898.765965.1332898.765966.1332898.765953.1332898.765954",0,1,1,"Have you received a dose in addition to the one(s) previously indicated?This includes boosters or 11 full doses of the COVID-19 vaccine?","QUESTION","2021-10-28 16:41:23",765953,1332898
