"id","survey_concept_id","question_concept_id","survey_order_number","question_order_Number","path","sub","question_text","is_topic"
1,1586134,1586135,1,1,1586135,0,"In what country were you born?",0
2,1586134,1586140,1,2,1586140,0,"Which categories describe you? Select all that apply. Note, you may select more than one group.",0
4,1586134,1586151,1,2,"1586140.1586142.1586151",1,"Asian (For example: Asian Indian, Chinese, Filipino, Japanese, Korean, Vietnamese, etc.)",0
5,1586134,1586152,1,2,"1586140.1586143.1586152",1,"Black, African American, or African (For example: African American, Ethiopian, Haitian, Jamaican, Nigerian, Somali, etc.)",0
6,1586134,1586156,1,2,"1586140.1586147.1586156",1,"Hispanic, Latino, or Spanish (For example: Colombian, Cuban, Dominican, Mexican or Mexican American, Puerto Rican, Salvadoran, etc.)",0
9,1586134,1586155,1,2,"1586140.1586146.1586155",1,"White (For example: English, European, French, German, Irish, Italian, Polish, etc.)",0
10,1586134,1585845,1,3,1585845,0,"What was your biological sex assigned at birth?",0
11,1586134,1585838,1,4,1585838,0,"What terms best express how you describe your gender identity? (Check all that apply)",0
12,1586134,1585348,1,4,"1585838.1585841.1585348",1,"Are any of these a closer description to your gender identity?",0
13,1586134,1585348,1,4,"1585838.1585842.1585348",1,"Are any of these a closer description to your gender identity?",0
14,1586134,1585348,1,4,"1585838.1585843.1585348",1,"Are any of these a closer description to your gender identity?",0
15,1586134,1585899,1,5,1585899,0,"Which of the following best represents how you think of yourself.",0
16,1586134,1585357,1,5,"1585899.1585904.1585357",1,"Are any of these a closer description of how you think of yourself?",0
17,1586134,1585940,1,6,1585940,0,"What is the highest grade or year of school you completed?",0
18,1586134,1585852,1,7,1585852,0,"Have you ever served on active duty in the United States Armed forces, either in the regular military or in a National Guard or military reserve unit?",0
19,1586134,1585892,1,8,1585892,0,"What is your current marital status?",0
22,1586134,1585386,1,9,1585386,0,"Are you covered by health insurance or some other kind of health care plan?",0
23,1586134,43528428,1,9,"1585386.1585387.43528428",1,"Are you currently covered by any of the following types of health insurance or health coverage plans? Select all that apply from one group.",0
24,1586134,1585952,1,10,1585952,0,"What is your current employment status? Please select 1 or more of these categories.",0
25,1586134,1585375,1,11,1585375,0,"What is your annual household income from all sources?",0
26,1586134,1585370,1,12,1585370,0,"Do you own or rent the place where you live?",0
27,1586134,1585402,1,12,"1585370.1585373.1585402",1,"Where are you currently living?",0
28,1586134,1585879,1,13,1585879,0,"How many years have you lived at your current address?",0
29,1586134,1585886,1,14,1585886,0,"In the past 6 months, have you been worried or concerned about NOT having a place to live?",0
30,1585710,1585766,2,1,1585766,0,"How confident are you filling out medical forms by yourself?",0
31,1585710,1585772,2,2,1585772,0,"How often do you have someone help you read health-related materials?",0
32,1585710,1585778,2,3,1585778,0,"How often do you have problems learning about your medical condition because of difficulty understanding written information?",0
33,1585710,1585711,2,4,1585711,0,"In general, would you say your health is:",0
34,1585710,1585717,2,5,1585717,0,"In general, would you say your quality of life is:",0
35,1585710,1585723,2,6,1585723,0,"In general, how would you rate your physical health?",0
36,1585710,1585729,2,7,1585729,0,"In general, how would you rate your mental health, including your mood and your ability to think?",0
37,1585710,1585735,2,8,1585735,0,"In general, how would you rate your satisfaction with your social activities and relationships?",0
38,1585710,1585741,2,9,1585741,0,"To what extent are you able to carry out your everyday physical activities such as walking, climbing stairs, carrying groceries, or moving a chair?",0
39,1585710,1585747,2,10,1585747,0,"In the past 7 days, how would you rate your pain on average?",0
40,1585710,1585748,2,11,1585748,0,"In the past 7 days, how would you rate your fatigue?",0
41,1585710,1585754,2,12,1585754,0,"In general, please rate how well you carry out your usual social roles. (This includes activities at home, at work and in your community, and responsibilities as a parent, child, spouse, employee, friend, etc.)",0
42,1585710,1585760,2,13,1585760,0,"In the past 7 days, how often have you been bothered by emotional problems such as feeling anxious, depressed or irritable?",0
43,1585710,1585784,2,14,1585784,0,"Have your menstrual periods stopped permanently?",0
44,1585710,1585811,2,14,"1585784.1585785.1585811",1,"Are you currently pregnant?",0
45,1585710,1585811,2,14,"1585784.1585788.1585811",1,"Are you currently pregnant?",0
46,1585710,1585789,2,14,"1585784.1585786.1585789",1,"Why did your periods stop?",0
47,1585710,1585789,2,14,"1585784.1585787.1585789",1,"Why did your periods stop?",0
48,1585710,1585791,2,14,"1585784.1585786.1585791",1,"Have you ever had a hysterectomy (that is, surgery to remove your uterus or womb)?",0
50,1585710,1585796,2,14,"1585784.1585786.1585791.1585792.1585796",1,"Have you ever had an ovary removed?",0
51,1585710,1585796,2,14,"1585784.1585786.1585791.1585794.1585796",1,"Have you ever had an ovary removed?",0
52,1585710,1585796,2,14,"1585784.1585786.1585791.903079.1585796",1,"Have you ever had an ovary removed?",0
56,1585710,1585803,2,15,1585803,0,"Have you had a transplant of any type?",0
57,1585710,1585806,2,15,"1585803.1585804.1585806",1,"If yes, please check all that apply",0
58,1585710,1585815,2,16,1585815,0,"Have you traveled outside of the country within the past 6 months?",0
59,1585855,1585857,3,1,1585857,0,"Have you smoked at least 100 cigarettes in your entire life? (There are 20 cigarettes in a pack.)?",0
60,1585855,1585860,3,1,"1585857.1585858.1585860",1,"Do you now smoke cigarettes every day, some days, or not at all?",0
62,1585855,1585867,3,1,"1585857.1585858.1585867",1,"In the past, have you ever made a serious attempt to quit smoking? That is, have you stopped smoking for at least one day or longer because you were trying to quit?",0
67,1585855,1586166,3,2,1586166,0,"Have you ever used an electronic nicotine product, even one or two times? (Electronic nicotine products include e- cigarettes, vape pens, hookah pens, personal vaporizers and mods, e-cigars, epipes, and e-hookahs.)",0
68,1585855,1586169,3,2,"1586166.1586167.1586169",1,"Do you now use electronic nicotine products…",0
69,1585855,1586174,3,3,1586174,0,"Have you ever smoked a traditional cigar, cigarillo, or filtered cigar, even one of two puffs?",0
70,1585855,1586177,3,3,"1586174.1586175.1586177",1,"Do you now smoke a traditional cigar, cigarillo, or filtered cigar…",0
71,1585855,1586182,3,4,1586182,0,"Have you ever smoked tobacco in a hookah, even one or two puffs",0
72,1585855,1586185,3,4,"1586182.1586183.1586185",1,"Do you smoke hookah…",0
73,1585855,1586190,3,5,1586190,0,"Have you ever used smokeless tobacco products, even one or two times? (Smokeless tobacco products include snus pouches, Skoal Bandits, loose snus, moist snuff, dip, spit, and chewing tobacco.)",0
74,1585855,1586193,3,5,"1586190.1586191.1586193",1,"Do you now use smokeless tobacco products…",0
75,1585855,1586198,3,6,1586198,0,"In your entire life, have you had at least 1 drink of any kind of alcohol, not counting small tastes or sips? (By a “drink,” we mean a can or bottle of beer, a glass of wine or a wine cooler, a shot of liquor, or a mixed drink with liquor in it.)",0
76,1585855,1586201,3,6,"1586198.1586199.1586201",1,"How often did you have a drink containing alcohol in the past year?",0
77,1585855,1586207,3,6,"1586198.1586199.1586201.1586203.1586207",1,"On a typical day when you drink, how many drinks do you have?",0
78,1585855,1586207,3,6,"1586198.1586199.1586201.1586204.1586207",1,"On a typical day when you drink, how many drinks do you have?",0
79,1585855,1586207,3,6,"1586198.1586199.1586201.1586205.1586207",1,"On a typical day when you drink, how many drinks do you have?",0
80,1585855,1586207,3,6,"1586198.1586199.1586201.1586206.1586207",1,"On a typical day when you drink, how many drinks do you have?",0
81,1585855,1586213,3,6,"1586198.1586199.1586201.1586203.1586213",1,"How often did you have six or more drinks on one occasion in the past year?",0
82,1585855,1586213,3,6,"1586198.1586199.1586201.1586204.1586213",1,"How often did you have six or more drinks on one occasion in the past year?",0
83,1585855,1586213,3,6,"1586198.1586199.1586201.1586205.1586213",1,"How often did you have six or more drinks on one occasion in the past year?",0
84,1585855,1586213,3,6,"1586198.1586199.1586201.1586206.1586213",1,"How often did you have six or more drinks on one occasion in the past year?",0
85,1585855,1585636,3,7,1585636,0,"In your LIFETIME, which of the following substances have you ever used?",0
86,1585855,1585650,3,7,"1585636.1585637.1585650",1,"In the PAST THREE MONTHS, how often have you used marijuana (cannabis, pot, grass, hash, etc.)?",0
87,1585855,1585656,3,7,"1585636.1585638.1585656",1,"In the PAST THREE MONTHS, how often have you used cocaine (coke, crack, etc.)?",0
88,1585855,1585662,3,7,"1585636.1585639.1585662",1,"In the PAST THREE MONTHS, how often have you used prescription stimulants for non-medical reasons (Vyvanse, Ritalin, Concerta, Dexedrine, Adderall, diet pills, etc.)",0
89,1585855,1585668,3,7,"1585636.1585640.1585668",1,"In the PAST THREE MONTHS, how often have you used other stimulants (methamphetamine, speed, crystal meth, ice, k2/spice, bath salts, etc.)",0
90,1585855,1585674,3,7,"1585636.1585641.1585674",1,"In the PAST THREE MONTHS, how often have you used inhalants (nitrous oxide, glue, gas, paint thinner, etc.)?",0
91,1585855,1585680,3,7,"1585636.1585642.1585656",1,"In the PAST THREE MONTHS, how often have you used sedatives or sleeping pills for non-medical reasons (Valium, Serepax, Ativan, Xanax, Librium, Rohypnol, GHB, etc.)?",0
92,1585855,1585686,3,7,"1585636.1585643.1585656",1,"In the PAST THREE MONTHS, how often have you used hallucinogens (LSD, acid, mushrooms, PCP, Special K, ecstasy, etc.)?",0
93,1585855,1585692,3,7,"1585636.1585644.1585656",1,"In the PAST THREE MONTHS, how often have you used street opioids (heroin, opium, etc.)?",0
94,1585855,1585698,3,7,"1585636.1585645.1585656",1,"In the PAST THREE MONTHS, how often have you used prescription opioids for non-medical reasons (obana, fentanyl, oxycodone [OxyContin, Percocet], hydrocodone [Vicodin], methadone, buprenorphine [Supoxone], etc.",0
95,1585855,1585704,3,7,"1585636.1585646.1585656",1,"In the PAST THREE MONTHS, how often have you used other drugs?",0
96,43529712,1384522,4,1,1384522,0,"Has a doctor or health care provider ever told you that you have or had any of the following circulatory conditions? (select all that apply)",0
97,43529712,43530302,4,1,"1384522.43528401.43530302",1,"Are you still seeing a doctor or health care provider for Anemia?",0
98,43529712,43530461,4,1,"1384522.43528401.43530461",1,"About how old were you when you were first told you had Anemia?",0
99,43529712,43528786,4,1,"1384522.43528401.43528786",1,"Are you currently prescribed medications and/or receiving treatment for Anemia?",0
100,43529712,43530303,4,1,"1384522.43528442.43530303",1,"Are you still seeing a doctor or health care provider for Atrial fibrillation (Afib) or Atrial flutter?",0
101,43529712,43530414,4,1,"1384522.43528442.43530414",1,"About how old were you when you were first told you had Atrial fibrillation (Afib) or Atrial flutter?",0
102,43529712,43528787,4,1,"1384522.43528442.43528787",1,"Are you currently prescribed medications and/or receiving treatment for Atrial fibrillation (Afib) or Atrial flutter?",0
103,43529712,43530304,4,1,"1384522.1384512.43530304",1,"Are you still seeing a doctor or health care provider for Bleeding disorder?",0
104,43529712,43530462,4,1,"1384522.1384512.43530462",1,"About how old were you when you were first told you had Bleeding disorder?",0
105,43529712,43528788,4,1,"1384522.1384512.43528788",1,"Are you currently prescribed medications and/or receiving treatment for Bleeding disorder?",0
106,43529712,43530305,4,1,"1384522.43528580.43530305",1,"Are you still seeing a doctor or health care provider for Congestive heart failure?",0
107,43529712,43530463,4,1,"1384522.43528580.43530463",1,"About how old were you when you were first told you had Congestive heart failure?",0
